"Achipteria coleoptrata","Lithobius sp.","Agriotes aterrimus juv","Schendyla nemorensis","Pterostichus oblongopunctatus","Gnaphosidae sp. juv","Phalangiidae sp. juv","Pterostichus sp.","Staphylinidae spec","Carabidae sp.","Oodes helipioides","Geophilomorpha sp.","Theridiidae sp. juv","Aleocharinae sp1 juv","Athous subfuscus juv m","Geostiba circellaris","Linyphiidae juv","Microneta viaria","Neobisium sp.","Tapinocyba insecta","Tapinocyba praecox","Campodea sp. l","Xantholinus sp. juv s","algae","Lipothrix lubbocki","Brachychthoniidae spp.","Oribatella calcarata","omnivorous nematodes","Enchytraeidae","amoebae","Ceratophysella denticulata","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","predacious nematodes","Lumbricus rubellus xxl","Atheta sp. juv","Linyphiidae cf Erigoniinae juv m","bacteria","Micraphorura absoloni","Protaphorura armata","Eniochthonius minutissimus","Nanhermannia nana","bacterivorous nematodes","flagellates","ciliates","Julidae sp.","Mesaphorura sp.","Hypoaspis aculeifer","Leioseius bicolor","Leptogamasus suecicus","Trachytes aegrota","Uropoda minima","Uropoda minima juv","Veigaia nemorensis","Veigaia nemorensis juv","Oribatida sp. juv","Microppia minus","Nothrus silvestris","Oppiella nova","Lysigamasus runcatellus","Vulgarogamasus kraepelini","Zercon cf peltatus","Zercon cf peltatus juv","Suctobelbella sp.","Mesaphorura yosii","Mesaphorura macrochaeta","Pergamasinae juv s","Trachytes aegrota juv s","Brachyderinae sp.","Damaeus riparius","dead organic matter","Tectocepheus velatus alatus","saphrophytes","Nanhermannia elegantula","Phthiracarus laevigatus","Rhysotritia duplicata","Eupelops hirtus","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Lepidocyrtus lanuginosus","mykorrhiza","Chamobates cuspidatus","Chamobates voigtsi","plants","root exudates","root feeding nematodes","roots"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
