"species","movement_type","bodymass","metabolic_type","biomass"
"Achipteria coleoptrata","walking",5e-05,"invertebrate",0.12725
"Lithobius mutabilis","walking",0.004660424,"invertebrate",0.298267136
"Lithobius sp.","walking",0.00359344,"invertebrate",0.02156064
"Geophilus ribauti","walking",0.004253993,"invertebrate",0.544511104
"Scydmaenidae sp1 m","walking",0.00043222,"invertebrate",0.00691552
"Lithobius aeruginosus juv","walking",0.000229612,"invertebrate",0.007347584
"Geophilus ribauti juv","walking",0.001222346,"invertebrate",0.058672608
"Lithobius sp2 l","walking",0.000157031,"invertebrate",0.020099968
"Lithobius aeruginosus l","walking",0.002201557,"invertebrate",0.070449824
"algae","sessile",-999,"primary producer",NA
"Sminthurinus aureus","walking",5.1e-06,"invertebrate",0.0389385
"Brachychthoniidae spp.","walking",7.11e-06,"invertebrate",0.00181305
"Cultroribula bicultrata","walking",6.51e-06,"invertebrate",0.00166005
"Eulohmannia ribagai","walking",8.7e-05,"invertebrate",0.044283
"Sminthurinus niger","walking",5.1e-06,"invertebrate",0.0013005
"omnivorous nematodes","walking",6.02e-05,"invertebrate",NA
"Enchytraeidae","walking",-999,"invertebrate",NA
"Scutigerella immaculata s","walking",7.15e-05,"invertebrate",0.001144
"Scolopendrella cf subnuda m","walking",0.000200929,"invertebrate",0.003214864
"Campodea sp. l","walking",0.002292383,"invertebrate",0.036678128
"Allaiulus nitidus xl","walking",0.00468865,"invertebrate",0.1500368
"Lithobius piceus","walking",0.007029912,"invertebrate",0.112478592
"Geophilus electricus","walking",0.00996843,"invertebrate",0.63797952
"Strigamia acuminata","walking",0.006997365,"invertebrate",0.33587352
"Phalangiidae sp. juv","walking",0.005966949,"invertebrate",0.035801694
"Trogulus tricarinatus","walking",0.019162779,"invertebrate",0.306604464
"Geophilomorpha sp.","walking",0.006669259,"invertebrate",0.006669259
"Amaurobius sp. juv","walking",0.012068147,"invertebrate",0.012068147
"Histopona torpida","walking",0.030705366,"invertebrate",0.030705366
"amoebae","other",2.8e-08,"invertebrate",NA
"Ceratophysella denticulata","walking",5.96e-06,"invertebrate",0.00303364
"Isotomiella minor","walking",3.27e-06,"invertebrate",0.03745131
"Megalothorax minimus","walking",1.52e-05,"invertebrate",0.003876
"Parisotoma notabilis","walking",2.41e-06,"invertebrate",0.00613345
"predacious nematodes","walking",3.56e-06,"invertebrate",NA
"Isotoma hiemalis","walking",3.27e-06,"invertebrate",0.00083385
"Atheta sp.","walking",0.000743498,"invertebrate",0.011895968
"Malthodes sp. juv","walking",0.004000437,"invertebrate",0.128013984
"Microneta viaria","walking",0.001863227,"invertebrate",0.001863227
"Neobisium carcinoides","walking",0.001549189,"invertebrate",0.024787024
"Neobisium sp.","walking",0.001603525,"invertebrate",0.0128282
"Robertus lividus","walking",0.008396656,"invertebrate",0.075569904
"Saloca diceros","walking",0.001156146,"invertebrate",0.036996672
"Diplostyla concolor","walking",0.001495787,"invertebrate",0.013462083
"Tachinus scapularis","walking",0.003846051,"invertebrate",0.061536816
"Bathyphantes gracilis","walking",0.001498256,"invertebrate",0.001498256
"Tenuiphantes mengei","walking",0.001776666,"invertebrate",0.003553332
"Tenuiphantes tenuis","walking",0.001997645,"invertebrate",0.001997645
"Atropacarus striculus","walking",2.49e-05,"invertebrate",0.1711128
"bacteria","other",9.5e-16,"heterotrophic bacteria",NA
"Protaphorura armata","walking",8.73e-06,"invertebrate",0.00444357
"Protaphorura sp.","walking",8.73e-06,"invertebrate",0.01333071
"bacterivorous nematodes","walking",8.52e-07,"invertebrate",NA
"flagellates","other",3.63e-07,"invertebrate",NA
"ciliates","other",2.63e-09,"invertebrate",NA
"Trichoniscus pusillus m","walking",0.000404192,"invertebrate",1.09940224
"Paratullbergia sp.","walking",1.46e-05,"invertebrate",0.003723
"Gamasina sp. juv","walking",5.62e-06,"invertebrate",0.0014331
"Leptogamasus suecicus","walking",1.44e-05,"invertebrate",0.003672
"Pergamasinae juv xs","walking",6.46e-06,"invertebrate",0.0032946
"Prozercon fimbriatus juv","walking",3.51e-06,"invertebrate",0.00089505
"Trachytes aegrota","walking",3.7e-05,"invertebrate",0.01887
"Trachytes pauperior juv","walking",1.16e-05,"invertebrate",0.020706
"Uropoda cassidea","walking",8.54e-05,"invertebrate",0.021777
"Uropoda cassidea juv","walking",3.95e-05,"invertebrate",0.04029
"Veigaia exigua","walking",1.59e-05,"invertebrate",0.008109
"Veigaia nemorensis","walking",4.83e-05,"invertebrate",0.0615825
"Veigaia nemorensis juv","walking",1.79e-05,"invertebrate",0.0045645
"Berniniella bicarinata","walking",9.2e-06,"invertebrate",0.002346
"Hypochthonius luteus","walking",1.67e-05,"invertebrate",0.0340012
"Hypochthonius rufulus","walking",2.51e-05,"invertebrate",0.0255518
"Oribatida sp. juv","walking",7.36e-07,"invertebrate",0.00768016
"Microppia minus","walking",3.83e-06,"invertebrate",0.00097665
"Oppiella falcata","walking",6.68e-06,"invertebrate",0.02040072
"Oppiella nova","walking",8.99e-06,"invertebrate",0.03660728
"Oppiella subpectinata","walking",1.52e-05,"invertebrate",0.077368
"Suctobelbella sp.","walking",6.17e-06,"invertebrate",0.04710795
"Lysigamasus minorleitneriae","walking",2.32e-05,"invertebrate",0.011832
