"species","movement_type","bodymass","metabolic_type","biomass"
"Achipteria coleoptrata","walking",5e-05,"invertebrate",0.0382
"Lithobius sp.","walking",0.00359344,"invertebrate",0.03952784
"Plectophoreus fischeri","walking",0.000326196,"invertebrate",0.005219136
"Lithobius curtipes l","walking",0.002886338,"invertebrate",0.092362816
"Acrotrichis sp.","walking",0.000456894,"invertebrate",0.007310304
"Schendyla nemorensis","walking",0.005111424,"invertebrate",1.22674176
"Athous subfuscus juv m","walking",0.000471002,"invertebrate",0.015072064
"Habrocerus capillaricornis","walking",0.001056938,"invertebrate",0.02113876
"Othius sp. juv m","walking",0.002792224,"invertebrate",0.044675584
"Diplocephalus picinus","walking",0.001612679,"invertebrate",0.001612679
"Linyphiidae juv","walking",0.000519895,"invertebrate",0.01871622
"Microneta viaria","walking",0.001863227,"invertebrate",0.005589681
"Neobisium carcinoides","walking",0.001549189,"invertebrate",0.049574048
"Neobisium sp.","walking",0.001603525,"invertebrate",0.2822204
"Phalangiidae sp. juv","walking",0.005966949,"invertebrate",0.053702541
"Robertus lividus","walking",0.008396656,"invertebrate",0.268692992
"Tapinocyba insecta","walking",0.001163738,"invertebrate",0.002327476
"Campodea sp. m","walking",0.000717334,"invertebrate",0.011477344
"Diplostyla concolor","walking",0.001495787,"invertebrate",0.025428379
"Lathrobium brunnipes","walking",0.009805234,"invertebrate",0.313767488
"Mycetoporus sp.","walking",0.001387129,"invertebrate",0.044388128
"Clubionidae juv","walking",0.003435355,"invertebrate",0.003435355
"Staphylinidae spec","walking",0.004003596,"invertebrate",0.016014384
"Geophilomorpha sp.","walking",0.006669259,"invertebrate",0.06669259
"Ceratinella brevis","walking",0.001816109,"invertebrate",0.001816109
"Theridiidae sp. juv","walking",0.003831577,"invertebrate",0.007663154
"Liocranidae sp. juv","walking",0.002874279,"invertebrate",0.002874279
"Philodromus dispar","walking",0.013387849,"invertebrate",0.013387849
"Adoristes ovatus","walking",6.44e-05,"invertebrate",0.0492016
"Agriotes aterrimus juv","walking",0.003631715,"invertebrate",0.11621488
"Pterostichus chamaeleon juv","walking",0.081408931,"invertebrate",1.302542896
"Pterostichus sp.","walking",0.14115915,"invertebrate",0.14115915
"Carabidae sp.","walking",0.065971077,"invertebrate",0.065971077
"Molops piceus","walking",0.110875648,"invertebrate",0.110875648
