"","Acentronichthys_leptos","Anacroneuria","Baetidae","Biofilm","Blepharopus","Campsurus","Characidium_lanei","Chimarra","Chironomidae","Corixidae","Deuterodon_iguape","Farrodes","Gomphidae","Gripopteryx","Gymnotus_pantherinus","Heteragrion","Heterelmis","Hollandichthys_multifasciatus","Hydroptilidae","leaf","Leptoceridae","Leptohyphes","Leptonema","Leptophlebiidae_spA","Macrelmis","Macrobrachium","Macronema","Mimagoniates_microlepis","moss","Neoelmis","Oligochaeta_spA","Phylloicus","Rhamdia_quelen","Schizolecis_guntheri","Simuliidae","Smicridea","Synbranchus_marmoratus","Synoestropsis","terrestrial_invertebrates","Tipulidae","Veliidae_spA"
"Acentronichthys_leptos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anacroneuria",0,0,0,0,0,0,0.952945996934324,0,0,0,0.816354472516681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995043784149739,0,0,0,0,0,0,0.947659460759382,0,0,0,0,0,0,0,0
"Baetidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biofilm",0.909027550784158,0.995125934275267,0.99507347580623,0,0.995045787541963,0.995173517660445,0,0.995093514373197,0.995157320446757,0.995029772759509,0.817734778407399,0.995064681795788,0,0.99498398255661,0.918659551472401,0,0.994891478156079,0.888968122371113,0.994929443895148,0,0.995224990176123,0.995028997298129,0.995031755978061,0.994987784130416,0.995064137239197,0.995052877386691,0.99508417175831,0.910186125769195,0,0.994923240052524,0.995203688808624,0.994997577435086,0.948499434388921,0.994945160577552,0.994169771986476,0.995088196513892,0,0.995102062589281,0,0,0
"Blepharopus",0,0.994967800686046,0,0,0,0,0.952477461823565,0,0,0,0,0,0,0,0.00898187530462796,0,0,0,0,0,0,0,0,0,0,0.995061260097885,0,0.909675373725202,0,0,0,0,0.947981129056341,0,0,0,0,0.995008371070521,0,0,0
"Campsurus",0,0.99492050592606,0,0,0,0,0.95218760880502,0,0,0,0.861876514572447,0,0.99499013656647,0,0.917785649126297,0.995113462972533,0,0,0,0,0,0,0,0,0,0,0,0.909614470835586,0,0,0,0,0.948398714041344,0,0,0,0,0.99514729951961,0,0,0
"Characidium_lanei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573341957399798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019061235439651,0,0,0,0,0,0,0,0
"Chimarra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomidae",0.955062707724519,0.995220451445532,0,0,0,0,0.95295560421914,0,0,0.994976758824738,0.906901853038063,0,0.995136512712494,0,0.927212008836746,0.995184750204944,0,0.995751826267,0,0,0,0,0,0,0,0.995081991490401,0,0.93616081947702,0,0,0,0,0.961694204846349,0.99510596217903,0,0,0.995095641955097,0.993923109828152,0,0,0
"Corixidae",0,0,0,0,0,0,0.952645454932028,0,0,0,0.817091490869818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948210427374051,0,0,0,0,0,0,0,0
"Deuterodon_iguape",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farrodes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gomphidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137364782158023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gripopteryx",0,0,0,0,0,0,0.952362307398728,0,0,0,0.817142500520882,0,0,0,0.0091156867316236,0,0,0,0,0,0,0,0,0,0,0.994969405041069,0,0,0,0,0,0,0.947893844832103,0,0,0,0,0,0,0,0
"Gymnotus_pantherinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteragrion",0,0,0,0,0,0,0.952973654549248,0,0,0,0,0,0,0,0.0275800570040508,0,0,0.889349518679419,0,0,0,0,0,0,0,0,0,0.936838612512588,0,0,0,0,0.948348840733203,0,0,0,0,0,0,0,0
"Heterelmis",0,0,0,0,0,0,0.0472784325762436,0,0,0,0.0933879959072249,0,0,0,0.00927988023497983,0,0,0,0,0,0,0,0,0,0,0,0,0.0318865018241698,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hollandichthys_multifasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydroptilidae",0,0,0,0,0,0,0.0469277091348777,0,0,0,0.0486679457011218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313066236417758,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaf",0,0,0,0,0,0,0.046865838296935,0,0,0,0.0485049431631832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995131942353577,0,0.0316636029416605,0,0,0,0.995030114749433,0,0,0,0,0,0,0,0,0
"Leptoceridae",0,0.995039019829741,0,0,0,0,0.953253523360702,0,0,0,0.0934391368219343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908849360287625,0,0,0,0,0.94761793436556,0,0,0,0,0.995037550665759,0,0,0
"Leptohyphes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptonema",0,0.995088986016643,0,0,0,0,0.95248684273576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995159645609685,0,0.909038903005064,0,0,0,0,0.946383559030392,0,0,0,0,0.994957287297909,0,0,0
"Leptophlebiidae_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrelmis",0,0.994912972823263,0,0,0,0,0.99522518942155,0,0,0,0.0929748153555593,0,0,0,0.00934541927582164,0,0,0,0,0,0,0,0,0,0,0,0,0.0315596750558461,0,0,0,0,0.94795853051602,0,0,0,0,0,0,0,0
"Macrobrachium",0.909061975336595,0,0,0,0,0,0,0,0,0,0.817312930559543,0,0,0,0.917516310964639,0,0,0.995727470310948,0,0,0,0,0,0,0,0,0,0.90982957850598,0,0,0,0,0.995433312328457,0.995037323700084,0,0,0,0,0,0,0
"Macronema",0.0270067027549219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911927302954153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimagoniates_microlepis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moss",0.910291351892415,0.995070608226235,0,0,0,0,0.951761123301346,0,0.994913759695201,0,0.951319269798776,0,0,0,0.918605399917143,0,0,0.889318632975005,0,0,0.99523531175385,0,0,0,0,0,0,0.909967035785583,0,0,0,0.995118063667404,0.94818862232681,0.995176764043602,0.994687278986999,0.995032919770967,0,0.995123209101009,0,0.995076764367929,0
"Neoelmis",0,0,0,0,0,0,0.0471624417469798,0,0,0,0.0935384440005506,0,0,0,0.00901042559519714,0,0,0,0,0,0,0,0,0,0,0,0,0.0314006491921663,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligochaeta_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloicus",0,0.994980914917353,0,0,0,0,0.951002313123213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910030669313413,0,0,0,0,0.948234876674733,0,0,0,0,0.995130671490077,0,0,0
"Rhamdia_quelen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizolecis_guntheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simuliidae",0.910004139774403,0.995240504207662,0,0,0,0,0,0,0,0,0,0,0.995046686473777,0,0,0.995088346119243,0,0,0,0,0,0,0,0,0,0.995153429442096,0,0,0,0,0,0,0,0.99515362603159,0,0,0,0,0,0,0
