"","Acentronichthys_leptos","Anacroneuria","Baetidae","Belostomatidae","Biofilm","Blepharopus","Ceratopogonidae","Cernotina","Chimarra","Chironomidae","Corixidae","Farrodes","Gomphidae","Gripopteryx","Gymnotus_pantherinus","Helicopsyche","Heteragrion","Heterelmis","Hexacylloepus","Hollandichthys_multifasciatus","leaf","Leptonema","Macrobrachium","Macrogynoplax","Megaloptera","moss","Neoelmis","Oligochaeta_spA","Phylloicus","Planaria","Rhamdia_quelen","Schizolecis_guntheri","Simuliidae","Smicridea","Synoestropsis","terrestrial_invertebrates","Tipulidae","Veliidae_spA"
"Acentronichthys_leptos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anacroneuria",0,0,0,0.994988895891605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995043784149739,0,0.99504505061326,0,0,0,0,0,0.947659460759382,0,0,0,0,0,0,0
"Baetidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belostomatidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88926606820847,0,0,0,0,0,0,0,0,0,0,0.948594258056515,0,0,0,0,0,0,0
"Biofilm",0.909027550784158,0.995125934275267,0.99507347580623,0,0,0.995045787541963,0.995067355602271,0.995058456197943,0.995093514373197,0.995157320446757,0.995029772759509,0.995064681795788,0,0.99498398255661,0.918659551472401,0.994962759257796,0,0.994891478156079,0.995142676966707,0.888968122371113,0,0.995031755978061,0.995052877386691,0.994973883081311,0,0,0.994923240052524,0.995203688808624,0.994997577435086,0,0.948499434388921,0.994945160577552,0.994169771986476,0.995088196513892,0.995102062589281,0,0,0
"Blepharopus",0,0.994967800686046,0,0,0,0,0,0,0,0,0,0,0,0,0.00898187530462796,0,0,0,0,0,0,0,0.995061260097885,0.995160465969918,0,0,0,0,0,0,0.947981129056341,0,0,0,0.995008371070521,0,0,0
"Ceratopogonidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815481259536888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cernotina",0,0.995144601567967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948448371106715,0,0,0,0.99517571600492,0,0,0
"Chimarra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomidae",0.955062707724519,0.995220451445532,0,0.994865169160456,0,0,0,0,0,0,0.994976758824738,0,0.995136512712494,0,0.927212008836746,0,0.995184750204944,0,0,0.995751826267,0,0,0.995081991490401,0.995157170627678,0.994999023209664,0,0,0,0,0.994951625251487,0.961694204846349,0.99510596217903,0,0,0.993923109828152,0,0,0
