"","Acentronichthys_leptos","Argia","Baetidae","Biofilm","Blepharopus","Ceratopogonidae","Chimarra","Chironomidae","Corixidae","Gripopteryx","Gymnotus_pantherinus","Heteragrion","Hollandichthys_multifasciatus","Hoplias_malabaricus","Hydrobiosidae","Hydroptilidae","leaf","Libellulidae","Macrelmis","Macrobrachium","Mimagoniates_lateralis","Mimagoniates_microlepis","moss","Neoelmis","Oligochaeta_spA","Phalloceros","Psephenus","Rhamdia_quelen","Simuliidae","Smicridea","Snail_spA","Synoestropsis","terrestrial_invertebrates","Tipulidae","Veliidae_spA"
"Acentronichthys_leptos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argia",0.0901844747468778,0,0,0,0,0,0,0,0,0,0.008956425389921,0,0.942270778898809,0.995083185924442,0,0,0,0,0,0,0.995290107410289,0.909834943510306,0,0,0,0.99508231730017,0,0.947949570310842,0,0,0,0,0,0,0
"Baetidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biofilm",0.909027550784158,0,0.99507347580623,0,0.995045787541963,0.995067355602271,0.995093514373197,0.995157320446757,0.995029772759509,0.99498398255661,0.918659551472401,0,0.888968122371113,0,0.995034837843211,0.994929443895148,0,0,0.995064137239197,0.995052877386691,0.980540209307178,0.910186125769195,0,0.994923240052524,0.995203688808624,0.995178514719602,0.995162195589093,0.948499434388921,0.994169771986476,0.995088196513892,0.995047717977935,0.995102062589281,0,0,0
"Blepharopus",0,0,0,0,0,0,0,0,0,0,0.00898187530462796,0,0,0,0,0,0,0,0,0.995061260097885,0.980312801850712,0.909675373725202,0,0,0,0,0,0.947981129056341,0,0,0,0.995008371070521,0,0,0
"Ceratopogonidae",0,0,0,0,0,0,0,0,0,0,0.0815481259536888,0,0,0,0,0,0,0,0,0,0,0.089722226376809,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chimarra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomidae",0.955062707724519,0.995114721895069,0,0,0,0,0,0,0.994976758824738,0,0.927212008836746,0.995184750204944,0.995751826267,0,0,0,0,0.994957512910865,0,0.995081991490401,0.995138142692264,0.93616081947702,0,0,0,0.994967415917384,0,0.961694204846349,0,0,0,0.993923109828152,0,0,0
"Corixidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948210427374051,0,0,0,0,0,0,0
"Gripopteryx",0,0,0,0,0,0,0,0,0,0,0.0091156867316236,0,0,0,0,0,0,0,0,0.994969405041069,0,0,0,0,0,0.995138771080717,0,0.947893844832103,0,0,0,0,0,0,0
"Gymnotus_pantherinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteragrion",0,0,0,0,0,0,0,0,0,0,0.0275800570040508,0,0.889349518679419,0.995152427835099,0,0,0,0,0,0,0.980456763135718,0.936838612512588,0,0,0,0.99491383250793,0,0.948348840733203,0,0,0,0,0,0,0
"Hollandichthys_multifasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.995138016605855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hoplias_malabaricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrobiosidae",0,0,0,0,0,0,0,0,0,0,0.00953626494381334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydroptilidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313066236417758,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995131942353577,0,0.0316636029416605,0,0,0,0,0,0,0,0,0,0,0,0,0
"Libellulidae",0,0,0,0,0,0,0,0,0,0,0,0,0.889289908919041,0.995107124967659,0,0,0,0,0,0,0.980449320317456,0.90918410069068,0,0,0,0.995118468541989,0,0.94836128826789,0,0,0,0,0,0,0
"Macrelmis",0,0,0,0,0,0,0,0,0,0,0.00934541927582164,0,0,0,0,0,0,0,0,0,0,0.0315596750558461,0,0,0,0.995049648082554,0,0.94795853051602,0,0,0,0,0,0,0
"Macrobrachium",0.909061975336595,0,0,0,0,0,0,0,0,0,0.917516310964639,0,0.995727470310948,0.995069069655238,0,0,0,0,0,0,0.995249440092958,0.90982957850598,0,0,0,0,0,0.995433312328457,0,0,0,0,0,0,0
"Mimagoniates_lateralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.99508933383413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mimagoniates_microlepis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.995157510426744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moss",0.910291351892415,0,0,0,0,0,0,0.994913759695201,0,0,0.918605399917143,0,0.889318632975005,0,0,0,0,0,0,0,0.980780620855773,0.909967035785583,0,0,0,0.99518011712153,0,0.94818862232681,0.994687278986999,0.995032919770967,0,0.995123209101009,0,0.995076764367929,0
"Neoelmis",0,0,0,0,0,0,0,0,0,0,0.00901042559519714,0,0,0,0,0,0,0,0,0,0,0.0314006491921663,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligochaeta_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phalloceros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psephenus",0,0,0,0,0,0,0,0,0,0,0.00906528833213116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995035602178528,0,0.947673042926099,0,0,0,0,0,0,0
"Rhamdia_quelen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simuliidae",0.910004139774403,0.995146705523366,0,0,0,0,0,0,0,0,0,0.995088346119243,0,0,0,0,0,0.995143853712671,0,0.995153429442096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smicridea",0.0269727342381843,0,0,0,0,0,0,0,0,0,0.00937898584822448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
