"Acrotona sylvicola","Lithobius mutabilis","Lithobius sp.","Geophilus ribauti","Geophilus insculptus","Geophilus electricus","Notiophilus biguttatus","Geostiba circellaris","Othius subuliformis","Xantholininae sp. juv","Amaurobius sp. juv","Diplocephalus picinus","Neobisium sp.","Phalangiidae sp. juv","Saloca diceros","Tapinocyba insecta","Clubionidae juv","Lithobius curtipes m","Lithobius sp2 l","Campodea sp. l","Cantharidae sp.","Staphylinidae spec","Microlinyphia pusilla","Pelecopsis radicicola","Agriotes sp.","Pterostichus sp.","Aleocharinae sp1 juv","Oxypoda annularis","Diplocephalus latifrons","Linyphiidae juv","algae","Deuterosminthurus pallipes","Sminthurinus aureus","Scolopendrella cf subnuda s","Brachychthoniidae spp.","omnivorous nematodes","Enchytraeidae","Discus rotundatus juv","Arion silvaticus","Pulmonata sp. juv","Allaiulus nitidus xl","Allosuctobelba grandis","Scydmaenidae sp1 m","amoebae","Ceratophysella denticulata","Cryptopygus garretti","Isotomiella minor","Megalothorax minimus","Aporrectodea caliginosa","Aporrectodea caliginosa juv xl","Aporrectodea rosea","Lumbricus castaneus","Lumbricus sp. juv","Lumbricus terrestris","predacious nematodes","Aporrectodea sp. juv xxl","Lumbricus rubellus xxl","Lumbricus rubellus juv xxl","Octolasion tyrtaeum juv xxl","Atheta sp. juv","Athous haemorrhoidalis juv","Atropacarus striculus","bacteria","Deuteraphorura inermis","Polydesmidae sp.","bacterivorous nematodes","flagellates","ciliates","Julidae sp.","Trichoniscus pusillus m","Trichoniscus sp.","Trachelipus ratzeburgii","Mesaphorura sp.","Dinychus perforatus juv","Epicrius sp. juv","Geholaspis mandibularis","Lysigamasus cornutus","Macrocheles cf dentatus juv","Pachylaelaps regularis","Pachylaelaps tesselatus","Trachytes pauperior juv","Veigaia nemorensis","Veigaia nemorensis juv","Veigaia sp. juv","Zercon cf gurensis","Dissorhina ornata","Oribatida sp. juv","Oppiella falcata","Oppiella nova","Oppiella subpectinata","Suctobelbella sp.","Trachytes pauperior s","Belba corynopus","Buprestidae sp.","Chamobates cuspidatus","Clausilia bidentata","Aegopinella nitidula juv","Cochlicopa lubrica","Coleoptera sp. juv","Curculionidae sp.","Damaeus riparius","dead organic matter","Hermannia gibba","Liacarus xylariae","Phthiracarus compressus","Phthiracarus longulus","Quadroppia quadricarinata","Scheloribates laevigatus","Tectocepheus velatus alatus","saphrophytes","Geotrupes spec","Folsomia quadrioculata","fungivorous nematodes","Glomeris connexa","Glomeris conspersa l","Glomeris sp.","leaf litter","Lepidocyrtus lanuginosus","Trichia striolata","Trichia striolata juv","Monachoides incarnatus","Monachoides incarnatus juv","Vitrea diaphana","Vitrea diaphana juv","Luperus luperus","mykorrhiza","Pantelozetes paolii","Phyllobius callacartus","Phyllobius sp.","plants","Helicidae sp. juv","root exudates","root feeding nematodes","roots"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
