"Abax parallelepipedus","Achipteria coleoptrata","Lithobius sp.","Lithobius curtipes l","Agriotes aterrimus juv","Amaurobius sp. juv","Robertus lividus","Macrargus rufus","Staphylinidae spec","Lycosidae sp. juv","Euophrys herbigrada","Aleocharinae sp1 juv","Notiophilus rufipes juv","Habrocerus capillaricornis","Othius sp. juv m","Oxypoda annularis","Quedius sp. juv","Xantholininae sp. juv","Diplocephalus picinus","Linyphiidae juv","Microneta viaria","Neobisium sp.","Tapinocyba insecta","Campodea sp. l","Euophrys frontalis","Salticidae sp. juv","algae","omnivorous nematodes","Enchytraeidae","Carabodes ornatus","amoebae","Isotomiella minor","Parisotoma notabilis","Dendrobaena octaedra","predacious nematodes","Athous sp. juv","bacteria","Deuteraphorura inermis","Nanhermannia nana","Protaphorura sp.","bacterivorous nematodes","flagellates","ciliates","Julidae sp.","Tachyusa sp. juv","Hypoaspis aculeifer","Macrocheles cf opacus aciculatus","Pergamasinae juv xs","Trachytes aegrota","Uropoda minima","Uropoda minima juv","Veigaia nemorensis","Veigaia sp. juv","Oribatida sp. juv","Microppia minus","Oppiella nova","Hypoaspis aculeifer juv","Lasioseius lawrencei","Pergamasus norvegicus","Vulgarogamasus sp.","Suctobelbella sp.","Neanura muscorum","Parasitidae juv s","Trachytes aegrota juv s","Brachyderinae sp.","Dalopius marginatus juv m","Linyphiidae cf Erigoniinae juv m","Damaeus riparius","dead organic matter","saphrophytes","Rhysotritia duplicata","Elateridae sp1 juv l","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Lepidocyrtus lanuginosus","Lepidocyrtus curvicolis","Lepidocyrtus lignorum","Lepidocyrtus sp. juv","mykorrhiza","Chamobates cuspidatus","Chamobates voigtsi","Steganacarus magnus","plants","Scolytidae sp.","root exudates","root feeding nematodes","Serica sp. juv","roots"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
