"Achipteria coleoptrata","Lithobius sp.","Lithobius calcaratus","Lithobius cf mutabilis","Lithobius curtipes m","Agriotes aterrimus juv","Notiophilus biguttatus","Gnaphosidae sp. juv","Phalangiidae sp. juv","Robertus lividus","Macrargus rufus","Cryptops hortensis","Staphylinidae sp. juv l","Staphylinidae spec","Synuchus nivalis","Geophilomorpha sp.","Theridiidae sp. juv","Agriotes sp. juv","Othius sp. juv m","Microneta viaria","Neobisium carcinoides","Neobisium sp.","Campodea sp. l","algae","Allacma fusca","Scolopendrella cf subnuda s","Brachychthoniidae spp.","omnivorous nematodes","Enchytraeidae","Carabodes ornatus","Micreremus gracilior","Discus rotundatus juv","Atheta sp. juv","Linyphiidae juv","Arctoseius magnanalis","Hypoaspis aculeifer","Veigaia nemorensis","Veigaia nemorensis juv","Zercon cf gurensis","Hypoaspis aculeifer juv","Lasioseius lawrencei","Leptogamasus sp.","Lysigamasus runcatellus","Lysigamasus sp.","Pergamasus norvegicus","Veigaia planicola","Veigaia planicola juv","Tapinocyba praecox","Tenuiphantes flavipes","Leptacinus sp. juv","Oxypoda sp.","Velleius sp. juv","Parasitidae juv s","Linyphiidae cf Erigoniinae juv m","amoebae","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","Dendrobaena octaedra","Dendrobaena octaedra juv","Dendrodrilus rubidus juv","predacious nematodes","Lumbricus rubellus juv xxl","Geostiba circellaris","Tapinocyba insecta","bacteria","Protaphorura sp.","bacterivorous nematodes","flagellates","ciliates","Polydesmus complanatus","Polyxenus lagurus","Trachelipus rathkei","Mesaphorura sp.","Micranurida pygmaea","Leitneria granulata juv","Macrocheles cf opacus aciculatus","Pachylaelaps longisetosus","Pergamasinae juv xs","Trachytes aegrota","Uropoda minima","Uropoda minima juv","Oribatida sp. juv","Microppia minus","Nothrus silvestris","Oppiella nova","Oppiella marginedentata","Macrocheles opacus","Leitneria granulata","Suctobelbella sp.","Trachytes aegrota juv s","Brachyderinae sp.","Chamobates voigtsi","Coleoptera sp.","Cossoninae sp.","Dalopius marginatus juv l","Dalopius marginatus juv m","dead organic matter","Metabelba pulverosa","Phthiracarus lentulus","Phthiracarus longulus","Tectocepheus velatus alatus","saphrophytes","Rhysotritia duplicata","Xenillus tegeocranus","Entomobrya cf multifasciata","Entomobryidae juv","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Lepidocyrtus lanuginosus","Nesovitrea hammonis juv","mykorrhiza","Steganacarus magnus","plants","root exudates","root feeding nematodes","roots"
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
