"species","movement_type","bodymass","metabolic_type","biomass"
"Achipteria coleoptrata","walking",5e-05,"invertebrate",0.4454
"Lithobius mutabilis","walking",0.004660424,"invertebrate",0.074566784
"Lithobius sp2 s","walking",6.6e-05,"invertebrate",0.003168
"Lithobius sp.","walking",0.00359344,"invertebrate",0.06108848
"Geophilus ribauti","walking",0.004253993,"invertebrate",0.544511104
"Lithobius aeruginosus s","walking",5.6e-05,"invertebrate",0.001792
"Lithobius sp3 m","walking",0.000204057,"invertebrate",0.006529824
"Acrotona sylvicola","walking",0.000746442,"invertebrate",0.024632586
"Strigamia acuminata","walking",0.006997365,"invertebrate",0.22391568
"Malthodes sp. juv","walking",0.004000437,"invertebrate",0.064006992
"Gyrohypnus sp. juv","walking",0.001929925,"invertebrate",0.0308788
"Amaurobius sp. juv","walking",0.012068147,"invertebrate",0.048272588
"Micrargus herbigradus","walking",0.001961535,"invertebrate",0.001961535
"Neobisium sp.","walking",0.001603525,"invertebrate",0.001603525
"Phalangiidae sp. juv","walking",0.005966949,"invertebrate",0.005966949
"Saloca diceros","walking",0.001156146,"invertebrate",0.01156146
"Walckenaeria dysderoides","walking",0.001161099,"invertebrate",0.002322198
"Erigonella hiemalis","walking",0.001322539,"invertebrate",0.001322539
"Macrargus rufus","walking",0.004556828,"invertebrate",0.004556828
"Troxochrus nasutus","walking",0.000946801,"invertebrate",0.015148816
"Monocephalus fuscipes","walking",0.001036461,"invertebrate",0.002072922
"Athous subfuscus juv l","walking",0.00467099,"invertebrate",0.07473584
"Staphylinidae spec","walking",0.004003596,"invertebrate",0.004003596
"Carabidae sp.","walking",0.065971077,"invertebrate",0.65971077
"Asthenargus paganus","walking",0.001033517,"invertebrate",0.002067034
"Ceratinella brevis","walking",0.001816109,"invertebrate",0.005448327
"Harpactea lepida juv large","walking",0.004962887,"invertebrate",0.004962887
"Tenuiphantes tenuis","walking",0.001997645,"invertebrate",0.001997645
"Adoristes ovatus","walking",6.44e-05,"invertebrate",0.0327796
"Aegopinella nitens juv","walking",0.009240836,"invertebrate",0.009240836
"algae","sessile",-999,"primary producer",NA
"Sminthurinus aureus","walking",5.1e-06,"invertebrate",0.0064923
"Brachychthoniidae spp.","walking",7.11e-06,"invertebrate",0.00905103
"omnivorous nematodes","walking",6.02e-05,"invertebrate",NA
"Enchytraeidae","walking",-999,"invertebrate",NA
"Carabodes coriaceus","walking",8.06e-05,"invertebrate",0.020553
"Carabodes ornatus","walking",7.15e-05,"invertebrate",0.0182325
"Scolopendrella cf subnuda m","walking",0.000200929,"invertebrate",0.009644592
"Discus rotundatus juv","walking",0.003997226,"invertebrate",0.003997226
"Allaiulus nitidus xl","walking",0.00468865,"invertebrate",0.0750184
"Molops piceus","walking",0.110875648,"invertebrate",0.332626944
"amoebae","other",2.8e-08,"invertebrate",NA
"Ceratophysella denticulata","walking",5.96e-06,"invertebrate",0.0015198
"Isotomiella minor","walking",3.27e-06,"invertebrate",0.03828189
"Parisotoma notabilis","walking",2.41e-06,"invertebrate",0.00920138
"Dendrodrilus rubidus","walking",0.1,"invertebrate",0.8
"Chamobates borealis","walking",1.99e-05,"invertebrate",0.0101291
"predacious nematodes","walking",3.56e-06,"invertebrate",NA
"Octolasion tyrtaeumxxxl","walking",2.000714286,"invertebrate",8.002857144
"Octolasion tyrtaeum juv xxl","walking",0.378272222,"invertebrate",3.026177776
"Atheta sp.","walking",0.000743498,"invertebrate",0.00743498
"Athous sp. juv","walking",0.000875669,"invertebrate",0.028021408
"Athous subfuscus","walking",0.047287248,"invertebrate",0.756595968
"Athous zebei juv m","walking",0.004052368,"invertebrate",0.064837888
"Atropacarus striculus","walking",2.49e-05,"invertebrate",0.1647633
"bacteria","other",9.5e-16,"heterotrophic bacteria",NA
"Protaphorura armata","walking",8.73e-06,"invertebrate",0.00222615
"Protaphorura sp.","walking",8.73e-06,"invertebrate",0.01333071
"Polydesmidae sp.","walking",0.000201582,"invertebrate",0.000201582
"bacterivorous nematodes","walking",8.52e-07,"invertebrate",NA
"flagellates","other",3.63e-07,"invertebrate",NA
"ciliates","other",2.63e-09,"invertebrate",NA
"Julidae sp.","walking",0.00617,"invertebrate",0.31467
"Trichoniscus pusillus m","walking",0.000404192,"invertebrate",0.025868288
"Trichoniscus sp.","walking",0.001742812,"invertebrate",0.005228436
"Lysigamasus sp. juv","walking",2.42e-05,"invertebrate",0.006171
"Epicrius canestrinii","walking",2.2e-05,"invertebrate",0.00561
"Pergamasinae juv xs","walking",6.46e-06,"invertebrate",0.0032946
"Trachytes pauperior juv","walking",1.16e-05,"invertebrate",0.005916
"Veigaia cerva","walking",8.03e-05,"invertebrate",0.040953
"Veigaia exigua","walking",1.59e-05,"invertebrate",0.008109
"Veigaia nemorensis","walking",4.83e-05,"invertebrate",0.098532
"Veigaia nemorensis juv","walking",1.79e-05,"invertebrate",0.0136935
"Oribatida sp. juv","walking",7.36e-07,"invertebrate",0.012550272
"Oppiella falcata","walking",6.68e-06,"invertebrate",0.018704
"Oppiella nova","walking",8.99e-06,"invertebrate",0.01144427
"Oppiella subpectinata","walking",1.52e-05,"invertebrate",0.1431384
"Lysigamasus jugincola","walking",2.1e-05,"invertebrate",0.016065
"Suctobelbella sp.","walking",6.17e-06,"invertebrate",0.08165378
"Zerconidae sp. juv","walking",2e-05,"invertebrate",0.0051
"Lysigamasus minorleitneriae","walking",2.32e-05,"invertebrate",0.011832
"Lysigamasus parunciger","walking",6.45e-05,"invertebrate",0.0164475
"Lysigamasus truncellus","walking",2.12e-05,"invertebrate",0.005406
"Trichouropoda cf obscura juv","walking",2.72e-05,"invertebrate",0.006936
"Mesaphorura italica","walking",1.46e-05,"invertebrate",0.0074314
"Trachytes aegrota juv s","walking",2.42e-05,"invertebrate",0.006171
"Trachytes pauperior s","walking",1.92e-05,"invertebrate",0.004896
"Centromerus brevivulvatus","walking",0.000600973,"invertebrate",0.009615568
"Linyphiidae juv","walking",0.000519895,"invertebrate",0.03223349
"Linyphiidae cf Erigoniinae juv s","walking",8.19e-05,"invertebrate",0.006552
"Chamobates voigtsi","walking",1.17e-05,"invertebrate",0.0029835
"Coleoptera sp. juv","walking",0.027960341,"invertebrate",0.055920682
"dead organic matter","sessile",-999,"dead organic material",NA
"Liacarus xylariae","walking",0.000103721,"invertebrate",0.026448855
"Phthiracarus clavatus","walking",0.000222343,"invertebrate",0.056697465
"Phthiracarus compressus","walking",0.000123863,"invertebrate",0.378277602
"Phthiracarus longulus","walking",6.8e-05,"invertebrate",0.034612
"Platynothrus peltifer","walking",0.000111057,"invertebrate",0.028319535
"Quadroppia monstruosa","walking",3.47e-06,"invertebrate",0.00883115
"Quadroppia quadricarinata","walking",4.77e-06,"invertebrate",0.00364428
"saphrophytes","other",-999,"heterotrophic fungi",NA
"Quadroppia hammerae","walking",2.7e-06,"invertebrate",0.0103086
"Dicyrtomina ornata","walking",2.68e-05,"invertebrate",0.006834
"Tapinocyba pallens","walking",0.000732341,"invertebrate",0.05858728
"Elateridae sp1 juv m","walking",0.000283672,"invertebrate",0.002269376
"Eupelops hirtus","walking",0.000241607,"invertebrate",0.061609785
"Folsomia quadrioculata","walking",5.41e-06,"invertebrate",0.01927583
"Folsomia spinosa","walking",5.41e-06,"invertebrate",0.00964062
"fungivorous nematodes","walking",5.35e-07,"invertebrate",NA
"Fuscozetes setosus","walking",7.6e-05,"invertebrate",0.096748
"Glomeris sp.","walking",0.01863,"invertebrate",0.01863
"leaf litter","sessile",-999,"dead organic material",NA
"Lepidocyrtus lanuginosus","walking",8.99e-06,"invertebrate",0.00229245
"Nesovitrea hammonis","walking",0.002188587,"invertebrate",0.002188587
"Nesovitrea hammonis juv","walking",0.001439063,"invertebrate",0.002878126
"mykorrhiza","other",-999,"heterotrophic fungi",NA
"Sphaerozetes piriformes","walking",0.000104471,"invertebrate",0.026640105
"plants","sessile",-999,"primary producer",NA
"root exudates","sessile",-999,"primary producer",NA
"root feeding nematodes","walking",2.35e-07,"invertebrate",NA
"Scarabeidae sp. juv","walking",0.050871056,"invertebrate",0.050871056
"roots","sessile",-999,"primary producer",NA
