"species","movement_type","bodymass","metabolic_type","biomass"
"Abax ovalis","walking",0.178420123,"invertebrate",0.178420123
"Abax parallelepipedus","walking",0.427211499,"invertebrate",0.427211499
"Aegopinella nitidula juv","walking",0.006715285,"invertebrate",0.006715285
"Strigamia acuminata","walking",0.006997365,"invertebrate",0.11195784
"Anelasmocephalus cambridgei","walking",0.008190923,"invertebrate",0.131054768
"Trogulus tricarinatus","walking",0.019162779,"invertebrate",0.306604464
"Agriotes acuminatus juv","walking",0.009457606,"invertebrate",0.151321696
"Lithobius crassipes","walking",0.003348347,"invertebrate",0.107147104
"Lithobius cf crassipes juv","walking",0.000951286,"invertebrate",0.015220576
"Lithobius piceus","walking",0.007029912,"invertebrate",0.112478592
"Lithobius cf mutabilis juv","walking",0.001784674,"invertebrate",0.114219136
"Lithobius dentatus","walking",0.006537213,"invertebrate",0.104595408
"Lithobius sp.","walking",0.00359344,"invertebrate",0.11139664
"Geophilus ribauti","walking",0.004253993,"invertebrate",0.544511104
"Geophilus insculptus","walking",0.005906476,"invertebrate",0.189007232
"Schendyla nemorensis","walking",0.005111424,"invertebrate",0.490696704
"Geophilus flavus","walking",0.007949148,"invertebrate",0.127186368
"Harpalus latus","walking",0.131065377,"invertebrate",2.097046032
"Amaurobius sp. juv","walking",0.012068147,"invertebrate",0.060340735
"Clubiona comta","walking",0.009930466,"invertebrate",0.009930466
"Pterostichus sp.","walking",0.14115915,"invertebrate",0.14115915
"Geophilomorpha sp.","walking",0.006669259,"invertebrate",0.026677036
"Harpactea lepida large","walking",0.014693674,"invertebrate",0.014693674
"algae","sessile",-999,"primary producer",NA
"Sminthurinus aureus","walking",5.1e-06,"invertebrate",0.002601
"Scolopendrella cf subnuda s","walking",2.33e-05,"invertebrate",0.0029824
"omnivorous nematodes","walking",6.02e-05,"invertebrate",NA
"Enchytraeidae","walking",-999,"invertebrate",NA
"Scutigerella immaculata m","walking",0.000203722,"invertebrate",0.068450592
"Campodea sp. l","walking",0.002292383,"invertebrate",0.18339064
"Allaiulus nitidus xl","walking",0.00468865,"invertebrate",0.2250552
"amoebae","other",2.8e-08,"invertebrate",NA
"Ceratophysella denticulata","walking",5.96e-06,"invertebrate",0.0015198
"Isotomiella minor","walking",3.27e-06,"invertebrate",0.01331544
"Parisotoma notabilis","walking",2.41e-06,"invertebrate",0.00736014
"Aporrectodea caliginosa","walking",0.607275641,"invertebrate",2.429102564
"Aporrectodea rosea","walking",0.219642857,"invertebrate",1.757142856
"Aporrectodea rosea juv","walking",0.085811429,"invertebrate",1.71622858
"Aporrectodea sp. juv xl","walking",0.05,"invertebrate",0.4
"Lumbricus terrestris","walking",6.054848485,"invertebrate",24.21939394
"Lumbricus terrestris juv xl","walking",0.073333333,"invertebrate",1.759999992
"predacious nematodes","walking",3.56e-06,"invertebrate",NA
"Robertus lividus","walking",0.008396656,"invertebrate",0.134346496
"Apostenus fuscus","walking",0.008812524,"invertebrate",0.008812524
"Athous haemorrhoidalis juv","walking",0.011601014,"invertebrate",0.185616224
"Athous sp. juv","walking",0.000875669,"invertebrate",0.014010704
"Histeridae sp.","walking",0.002114101,"invertebrate",0.033825616
"Xantholinus sp. juv m","walking",0.001552369,"invertebrate",0.024837904
"Diplocephalus picinus","walking",0.001612679,"invertebrate",0.027415543
"Hahnia pusilla","walking",0.001021355,"invertebrate",0.041875555
"Harpactea lepida juv small","walking",0.002996785,"invertebrate",0.04794856
"Microneta viaria","walking",0.001863227,"invertebrate",0.003726454
"Tenuiphantes tenebricola","walking",0.001080164,"invertebrate",0.017282624
"Macrargus rufus","walking",0.004556828,"invertebrate",0.004556828
"Clubionidae juv","walking",0.003435355,"invertebrate",0.003435355
"Lithobius sp3 m","walking",0.000204057,"invertebrate",0.006529824
"Staphylinidae spec","walking",0.004003596,"invertebrate",0.004003596
"Harpactea lepida juv large","walking",0.004962887,"invertebrate",0.004962887
"Theridiidae sp. juv","walking",0.003831577,"invertebrate",0.003831577
"Walckenaeria atrotibialis","walking",0.004654898,"invertebrate",0.004654898
"Athous subfuscus juv m","walking",0.000471002,"invertebrate",0.060288256
