"species","movement_type","bodymass","metabolic_type","biomass"
"Adoristes ovatus","walking",6.44e-05,"invertebrate",0.2294572
"Schendyla nemorensis","walking",0.005111424,"invertebrate",0.654262272
"Cryptops hortensis","walking",0.006138127,"invertebrate",0.263939461
"algae","sessile",-999,"primary producer",NA
"Lipothrix lubbocki","walking",1.11e-05,"invertebrate",0.0056499
"Scolopendrella cf subnuda s","walking",2.33e-05,"invertebrate",0.0104384
"Campodea sp. m","walking",0.000717334,"invertebrate",0.022954688
"Brachychthoniidae spp.","walking",7.11e-06,"invertebrate",0.13933467
"Carabodes labyrinthicus","walking",4.35e-05,"invertebrate",0.0221415
"omnivorous nematodes","walking",6.02e-05,"invertebrate",NA
"Enchytraeidae","walking",-999,"invertebrate",NA
"Carabodes coriaceus","walking",8.06e-05,"invertebrate",0.020553
"Carabodes ornatus","walking",7.15e-05,"invertebrate",0.2002
"Carabodes subarcticus","walking",3.16e-05,"invertebrate",0.008058
"Micreremus gracilior","walking",1.27e-05,"invertebrate",0.0032385
"amoebae","other",2.8e-08,"invertebrate",NA
"Isotomiella minor","walking",3.27e-06,"invertebrate",0.08072649
"Megalothorax minimus","walking",1.52e-05,"invertebrate",0.0618944
"Parisotoma notabilis","walking",2.41e-06,"invertebrate",0.12819031
"Lumbricus rubellus juv xl","walking",0.056666667,"invertebrate",0.226666668
"predacious nematodes","walking",3.56e-06,"invertebrate",NA
"Atheta sp. juv","walking",0.000175231,"invertebrate",0.002803696
"Notiophilus rufipes juv","walking",0.003606752,"invertebrate",0.057708032
"Linyphiidae juv","walking",0.000519895,"invertebrate",0.022355485
"Phalangiidae sp. juv","walking",0.005966949,"invertebrate",0.005966949
"Pergamasus norvegicus","walking",0.000302116,"invertebrate",0.07703958
"Pergamasus quisquiliarum","walking",0.000204233,"invertebrate",0.10415883
"Erigonella hiemalis","walking",0.001322539,"invertebrate",0.001322539
"Staphylinidae spec","walking",0.004003596,"invertebrate",0.004003596
