"","Acentronichthys_leptos","Argia","Baetidae","Biofilm","Blepharopus","Ceratopogonidae","Chimarra","Chironomidae","Corixidae","Gomphidae","Gripopteryx","Gymnotus_pantherinus","Heteragrion","Heterelmis","Hollandichthys_multifasciatus","Hydrobiosidae","leaf","Leptoceridae","Macrobrachium","moss","Neoelmis","Oligochaeta_spA","Psephenus","Rhamdia_quelen","Simuliidae","Smicridea","terrestrial_invertebrates","Tipulidae"
"Acentronichthys_leptos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argia",0.0901844747468778,0,0,0,0,0,0,0,0,0,0,0.008956425389921,0,0,0.942270778898809,0,0,0,0,0,0,0,0,0.947949570310842,0,0,0,0
"Baetidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biofilm",0.909027550784158,0,0.99507347580623,0,0.995045787541963,0.995067355602271,0.995093514373197,0.995157320446757,0.995029772759509,0,0.99498398255661,0.918659551472401,0,0.994891478156079,0.888968122371113,0.995034837843211,0,0.995224990176123,0.995052877386691,0,0.994923240052524,0.995203688808624,0.995162195589093,0.948499434388921,0.994169771986476,0.995088196513892,0,0
"Blepharopus",0,0,0,0,0,0,0,0,0,0,0,0.00898187530462796,0,0,0,0,0,0,0.995061260097885,0,0,0,0,0.947981129056341,0,0,0,0
"Ceratopogonidae",0,0,0,0,0,0,0,0,0,0,0,0.0815481259536888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chimarra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chironomidae",0.955062707724519,0.995114721895069,0,0,0,0,0,0,0.994976758824738,0.995136512712494,0,0.927212008836746,0.995184750204944,0,0.995751826267,0,0,0,0.995081991490401,0,0,0,0,0.961694204846349,0,0,0,0
"Corixidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.948210427374051,0,0,0,0
"Gomphidae",0,0,0,0,0,0,0,0,0,0,0,0.0137364782158023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gripopteryx",0,0,0,0,0,0,0,0,0,0,0,0.0091156867316236,0,0,0,0,0,0,0.994969405041069,0,0,0,0,0.947893844832103,0,0,0,0
"Gymnotus_pantherinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteragrion",0,0,0,0,0,0,0,0,0,0,0,0.0275800570040508,0,0,0.889349518679419,0,0,0,0,0,0,0,0,0.948348840733203,0,0,0,0
"Heterelmis",0,0,0,0,0,0,0,0,0,0,0,0.00927988023497983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hollandichthys_multifasciatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrobiosidae",0,0,0,0,0,0,0,0,0,0,0,0.00953626494381334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995131942353577,0,0,0,0,0,0,0,0,0
"Leptoceridae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94761793436556,0,0,0,0
"Macrobrachium",0.909061975336595,0,0,0,0,0,0,0,0,0,0,0.917516310964639,0,0,0.995727470310948,0,0,0,0,0,0,0,0,0.995433312328457,0,0,0,0
"moss",0.910291351892415,0,0,0,0,0,0,0.994913759695201,0,0,0,0.918605399917143,0,0,0.889318632975005,0,0,0.99523531175385,0,0,0,0,0,0.94818862232681,0.994687278986999,0.995032919770967,0,0.995076764367929
"Neoelmis",0,0,0,0,0,0,0,0,0,0,0,0.00901042559519714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligochaeta_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psephenus",0,0,0,0,0,0,0,0,0,0,0,0.00906528833213116,0,0,0,0,0,0,0,0,0,0,0,0.947673042926099,0,0,0,0
"Rhamdia_quelen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simuliidae",0.910004139774403,0.995146705523366,0,0,0,0,0,0,0,0.995046686473777,0,0,0.995088346119243,0,0,0,0,0,0.995153429442096,0,0,0,0,0,0,0,0,0
"Smicridea",0.0269727342381843,0,0,0,0,0,0,0,0,0,0,0.00937898584822448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"terrestrial_invertebrates",0.932430364625036,0,0,0,0,0,0,0,0,0,0,0.927403520606618,0,0,0.943329900628726,0,0,0,0,0,0,0,0,0.948164815382698,0,0.994917931515843,0,0
"Tipulidae",0,0,0,0,0,0,0,0,0,0,0,0.00885897778461477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
