,fw_names,species,metabolic_type,bodymass,abundance,biomass
1,S8C,Acentronichthys_leptos,ectotherm vertebrate,326.5625,0.0387,12.63796875
2,S8C,Argia,ectotherm invertebrate,3.4712,2.2222,7.71370064
3,S8C,Baetidae,ectotherm invertebrate,0.0785,20,1.57
4,S8C,Biofilm,detritus,NA,,NA
5,S8C,Blepharopus,ectotherm invertebrate,0.2446,3.3333,0.81532518
6,S8C,Ceratopogonidae,ectotherm invertebrate,0.0136,3.3333,0.04533288
7,S8C,Chimarra,ectotherm invertebrate,0.0452,11.1111,0.50222172
8,S8C,Chironomidae,ectotherm invertebrate,0.0029,23.3333,0.06766657
9,S8C,Corixidae,ectotherm invertebrate,0.8747,2.2222,1.94375834
10,S8C,Gripopteryx,ectotherm invertebrate,0.1183,76.6667,9.06967061
11,S8C,Gymnotus_pantherinus,ectotherm vertebrate,1425,0.0024,3.42
12,S8C,Heteragrion,ectotherm invertebrate,1.0503,1.1111,1.16698833
13,S8C,Hollandichthys_multifasciatus,ectotherm vertebrate,2677.1739,0.0556,148.8508688
14,S8C,Hoplias_malabaricus,ectotherm vertebrate,10825,0.0024,25.98
15,S8C,Hydrobiosidae,ectotherm invertebrate,0.2984,1.1111,0.33155224
16,S8C,Hydroptilidae,ectotherm invertebrate,0.0755,10,0.755
17,S8C,leaf,detritus,NA,,NA
18,S8C,Libellulidae,ectotherm invertebrate,32.7998,1.1111,36.44385778
19,S8C,Macrelmis,ectotherm invertebrate,0.0548,7.7778,0.42622344
20,S8C,Macrobrachium,ectotherm invertebrate,95.5951,3.584,342.6128384
21,S8C,Mimagoniates_lateralis,ectotherm vertebrate,141.6667,0.0073,1.03416691
22,S8C,Mimagoniates_microlepis,ectotherm vertebrate,208.3333,0.0145,3.02083285
23,S8C,moss,plant,NA,,NA
24,S8C,Neoelmis,ectotherm invertebrate,0.0082,5.5556,0.04555592
25,S8C,Oligochaeta_spA,ectotherm invertebrate,1.4466,6.6667,9.64404822
26,S8C,Phalloceros,ectotherm vertebrate,95,0.0121,1.1495
27,S8C,Psephenus,ectotherm invertebrate,0.0592,6.6667,0.39466864
28,S8C,Rhamdia_quelen,ectotherm vertebrate,24125,0.0048,115.8
29,S8C,Simuliidae,ectotherm invertebrate,0.0154,63.3333,0.97533282
30,S8C,Smicridea,ectotherm invertebrate,0.0797,16.6667,1.32833599
31,S8C,Snail_spA,ectotherm invertebrate,13.8918,1.1111,15.43517898
32,S8C,Synoestropsis,ectotherm invertebrate,0.7775,5.5556,4.319479
33,S8C,terrestrial_ectotherm invertebrate,detritus,NA,,NA
34,S8C,Tipulidae,ectotherm invertebrate,0.7159,6.6667,4.77269053
35,S8C,Veliidae_spA,ectotherm invertebrate,0.3205,4.4444,1.4244302
