"FW_name","species","species_type","metabolic_type","functional_group","taxonomic_level","movement_type","bodymass","abundance","biomass","losses","efficiencies"
"IS5","Achnanthes","plant","plant","plant","genus","sessile",9.416e-10,4850775.11578,0.00456748984901845,NA,0.551729832015487
"IS5","Amphora","plant","plant","plant","genus","sessile",6.76e-11,5966660.164,0.0004033462270864,NA,0.551729832015487
"IS5","Aulacoseira","plant","plant","plant","genus","sessile",3.828e-08,129116.6544,0.004942585530432,NA,0.551729832015487
"IS5","Bacteria","detritus","heterotrophic bacteria","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.162283135594272
"IS5","Caloneis","plant","plant","plant","genus","sessile",2.7e-09,43038.8848,0.00011620498896,NA,0.551729832015487
"IS5","Cocconeis","plant","plant","plant","genus","sessile",8.04133333333332e-09,20526099.3813333,0.165057207158428,NA,0.551729832015487
"IS5","CPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.162283135594272
"IS5","Cricotopus sp. A","animal","ectotherm invertebrate","herbivore","genus","walking",0.000112613612,656,0.073874529472,4.57518456347977e-05,0.908434014413912
"IS5","Cyclotella","plant","plant","plant","genus","sessile",5.96e-09,1034303.09,0.0061644464164,NA,0.551729832015487
"IS5","Cymbella","plant","plant","plant","genus","sessile",6.84e-10,10441729.86,0.00714214322424,NA,0.551729832015487
"IS5","Diatoma","plant","plant","plant","genus","sessile",7.64e-09,216954.0082,0.001657528622648,NA,0.551729832015487
"IS5","Diploneis","plant","plant","plant","genus","sessile",5.12e-08,86077.76961,0.004407181804032,NA,0.551729832015487
"IS5","Epithemia","plant","plant","plant","genus","sessile",5.002e-09,4722693.786,0.023622914317572,NA,0.551729832015487
"IS5","Eukiefferiella minor","animal","ectotherm invertebrate","herbivore","species","walking",0.000172214472,52,0.008955152544,4.90329518714065e-06,0.908434014413912
"IS5","Filamentous algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.551729832015487
"IS5","FPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.162283135594272
"IS5","Fragilaria","plant","plant","plant","genus","sessile",7.85333333333332e-10,41428200.7719333,0.0325349470062249,NA,0.551729832015487
"IS5","Fungi","detritus","heterotrophic fungi","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.162283135594272
"IS5","Gomphonema","plant","plant","plant","genus","sessile",9.65e-10,5685958.948,0.00548695038482,NA,0.551729832015487
"IS5","Green algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.551729832015487
"IS5","Hydrellia indet.","animal","ectotherm invertebrate","herbivore","genus","walking",0.001131268048,4,0.004525072192,1.43537956583864e-06,0.908434014413912
"IS5","Limnophora riparia","animal","ectotherm invertebrate","carnivore","species","walking",0.000498823232,60,0.02992939392,1.20383962869811e-05,0.908434014413912
"IS5","Macrophytes","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.551729832015487
"IS5","Melosira","plant","plant","plant","genus","sessile",1.172e-08,7255482.531,0.08503425526332,NA,0.551729832015487
"IS5","Meridion","plant","plant","plant","genus","sessile",1.052e-09,216954.0082,0.0002282356166264,NA,0.551729832015487
"IS5","Mesoveliidae indet. sp. A","animal","ectotherm invertebrate","carnivore","family","swimming",0.002339461736,20,0.04678923472,1.20220233089373e-05,0.908434014413912
"IS5","Mesoveliidae indet. sp. B","animal","ectotherm invertebrate","carnivore","family","swimming",0.005052119932,4,0.020208479728,4.15337870765947e-06,0.908434014413912
"IS5","Metriocnemus sp. B","animal","ectotherm invertebrate","herbivore","genus","walking",8.4348364e-05,8,0.000674786912,4.5444325956787e-07,0.908434014413912
"IS5","Micropsectra atrofasciata","animal","ectotherm invertebrate","herbivore","species","walking",3.2411904e-05,128,0.004148723712,3.68710447778136e-06,0.908434014413912
"IS5","Navicula","plant","plant","plant","genus","sessile",1.408e-09,3832772.91646,0.00539654426637568,NA,0.551729832015487
"IS5","Nitzschia","plant","plant","plant","genus","sessile",5.012e-10,5765899.581125,0.00288986887005985,NA,0.551729832015487
"IS5","Oligochaeta indet.","animal","ectotherm invertebrate","herbivore","class","walking",6.1504348e-05,6408,0.394119861984,0.000290884702613015,0.908434014413912
"IS5","Opephora","plant","plant","plant","genus","sessile",2.304e-10,1634698.164,0.0003766344569856,NA,0.551729832015487
"IS5","Orthocladius sp.","animal","ectotherm invertebrate","herbivore","genus","walking",0.000145055944,200,0.0290111888,1.66953477658763e-05,0.908434014413912
"IS5","Radix balthica","animal","ectotherm invertebrate","herbivore","species","walking",0.000985248152,4956,4.882889841312,0.00161221865613583,0.908434014413912
"IS5","Rhoicosphenia","plant","plant","plant","genus","sessile",1.612e-10,36554841.73,0.005892640486876,NA,0.551729832015487
"IS5","Rhopalodia","plant","plant","plant","genus","sessile",3.712e-08,5055610.382,0.18766425737984,NA,0.551729832015487
"IS5","Salmo trutta","animal","ectotherm vertebrate","carnivore","species","swimming",24.594525632,0.512,12.592397123584,0.000809512082800072,0.908434014413912
"IS5","Simulium aureum","animal","ectotherm invertebrate","omnivore","species","walking",0.000498963304,3176,1.584707453504,0.00063735948425293,0.908434014413912
"IS5","Simulium vittatum","animal","ectotherm invertebrate","omnivore","species","walking",0.000239740088,2776,0.665518484288,0.000331062948624591,0.908434014413912
"IS5","Sperchon glandulosus","animal","ectotherm invertebrate","herbivore","species","walking",0.0003823339,108,0.0412920612,1.794045265352e-05,0.908434014413912
"IS5","Stauroneis","plant","plant","plant","genus","sessile",1.448e-09,817349.0822,0.0011835214710256,NA,0.551729832015487
"IS5","Synedra","plant","plant","plant","genus","sessile",4.24e-08,15425064.46,0.654022733104,NA,0.551729832015487
"IS5","Terrestrial","detritus","ectotherm invertebrate","nonfeeding",NA,"flying",NA,NA,NA,NA,0.162283135594272
"IS5","Thienemanniella sp.","animal","ectotherm invertebrate","herbivore","genus","walking",5.3134912e-05,24,0.001275237888,9.81988191640072e-07,0.908434014413912
"IS5","Turbellaria indet.","animal","ectotherm invertebrate","carnivore","class","walking",0.00043652796,4,0.00174611184,7.30035208882878e-07,0.908434014413912
