"PhytoP","Hymeniacidon.heliophila","Copepoda","Petaloconchus.sp","Zooplankton","Tetraclita.stalactifera","Mytilaster.solisianus","Isognomon.bicolor","Tanaidacea","Isopoda","Sebidae","Plathelminthes","Polychaeta","Ulva.lactuca","Fissurella.clenchi","Pachygrapsus.transversus","Caulerpa.racemosa","Sargassum.cymosum","Colpomenia.peregrina","Hypnea.musciformis","Amphiroa.sp","Stramonita.haemastoma"
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
