"Amphipholis.squamata","Lipophrys.pholis","Coryphoblennius.galerita","PhytoP","Gammaridae","Zooplankton","Liza.ramada","Ampithoidae","Polychaeta","Ulva.sp.","Pachygrapsus.transversus","Cladophora.prolifera","Halopteris.filicina","Sargassum.vulgare","Cystoseira.abies.marina","Padina.pavonica","Rhodomelaceae"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
