"PhytoP","Mytilus.sp.","Zooplankton","Aulactinia.stella","Balanus.crenatus","Gammarus.oceanicus","Ulvaria.obscura","Littorina.littorea","Littorina.obtusata","Littorina.saxatilis","Testudinalia.testudinalis","Jaera..Jaera..albifrons","Nematoda","Dictyosiphon.foeniculaceus","Fucus","Chordaria.flagelliformis","Ralfsia.fungiformis","Ralfsia.verrucosa","Coilodesme.bulligera","Clathromorphum.circumscriptum","Diatomophyceae"
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
