"Polychaeta","Alitta.virens","Eteone.longa","PhytoP","Mytilus.sp.","Zooplankton","Fabricia.stellaris","Hediste.diversicolor","Oligochaeta","Gammarus.oceanicus","Insecta","Ulvaria.obscura","Littorina.obtusata","Littorina.saxatilis","Nematoda","Dictyosiphon.foeniculaceus","Fucus","Petalonia.fascia","Ralfsia.verrucosa","Clathromorphum.circumscriptum","Diatomophyceae"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
