"PhytoP","Mytilus.sp.","Zooplankton","Fabricia.stellaris","Macoma.balthica","Gammarus.oceanicus","Fucus","Littorina.littorea","Littorina.obtusata","Littorina.saxatilis","Nematoda","Petalonia.fascia","Ralfsia.verrucosa","Devaleraea.ramentacea","Diatomophyceae"
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
