"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"AP2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"AP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"AP2.csv"
"Clibanarius vittatus","walking",0.01,"invertebrate",0.1,"AP2.csv"
"Mytilaster solisianus","sessile",0.04,"invertebrate",0.08,"AP2.csv"
"Crassostrea virginica","sessile",8.59,"invertebrate",17.18,"AP2.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"AP2.csv"
"Colomastigidae","swimming",0.01,"invertebrate",0.001,"AP2.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"AP2.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"AP2.csv"
"Stramonita haemastoma","walking",0.01,"invertebrate",0.1,"AP2.csv"
"Eriphia gonagra","walking",0.01,"invertebrate",0.1,"AP2.csv"
"Nodilittorina lineolata","walking",0.01,"invertebrate",0.1,"AP2.csv"
"Bachelotia sp","sessile",0.000228,"primary producer",62.2,"AP2.csv"
"Pachygrapsus transversus","walking",1.16,"invertebrate",3.49,"AP2.csv"
"Strombus sp.","walking",11.9,"invertebrate",11.9,"AP2.csv"
"Morula nodulosa","walking",1.51,"invertebrate",6.05,"AP2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",660,"AP2.csv"
