"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"BP1.csv"
"Hymeniacidon heliophila","sessile",0.01,"invertebrate",0.1,"BP1.csv"
"Petaloconchus sp","sessile",0.01,"invertebrate",0.1,"BP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"BP1.csv"
"Microphrys bicornutus","walking",0.01,"invertebrate",0.1,"BP1.csv"
"Mytilaster solisianus","sessile",0.08,"invertebrate",6.88,"BP1.csv"
"Crassostrea virginica","sessile",8.7,"invertebrate",43.48,"BP1.csv"
"Isognomon bicolor","sessile",0.01,"invertebrate",0.1,"BP1.csv"
"Cuspidariidae","sessile",0.04,"invertebrate",0.29,"BP1.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"BP1.csv"
"Renilla sp","sessile",0.01,"invertebrate",0.1,"BP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"BP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",112,"BP1.csv"
"Ischnochiton striolatus","walking",0.01,"invertebrate",0.1,"BP1.csv"
"Lottia subrugosa","walking",0.01,"invertebrate",0.05,"BP1.csv"
"Tegula viridula","walking",0.01,"invertebrate",0.1,"BP1.csv"
"Columbellidae","walking",0.01,"invertebrate",0.1,"BP1.csv"
"Nodilittorina lineolata","walking",6.56,"invertebrate",39.34,"BP1.csv"
"Bathygobius soporator","swimming",0.01,"ectotherm vertebrate",0.1,"BP1.csv"
"Sargassum cymosum","sessile",0.000228,"primary producer",47.5,"BP1.csv"
"Bachelotia sp","sessile",0.000228,"primary producer",163.2,"BP1.csv"
"Padina sp.","sessile",0.000228,"primary producer",11.56,"BP1.csv"
"Dictyota sp","sessile",0.000228,"primary producer",0.01,"BP1.csv"
"Bostrychia sp.","sessile",0.000228,"primary producer",200,"BP1.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",0.01,"BP1.csv"
"Amphiroa sp","sessile",0.000228,"primary producer",0.01,"BP1.csv"
"Stramonita haemastoma","walking",0.01,"invertebrate",0.1,"BP1.csv"
"Bunodosoma caissarum","sessile",11.38,"invertebrate",22.77,"BP1.csv"
