"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Lottia subrugosa","walking",0.22,"invertebrate",1.1,"CGP2.csv"
"Bunodosoma cangicum","sessile",0.46,"invertebrate",0.92,"CGP2.csv"
"PhytoP","other",1e-04,"primary producer",0.5,"CGP2.csv"
"Hymeniacidon heliophila","sessile",0.01,"invertebrate",0.1,"CGP2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CGP2.csv"
"Petaloconchus sp","sessile",0.01,"invertebrate",0.1,"CGP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"CGP2.csv"
"Tetraclita stalactifera","sessile",43.5,"invertebrate",391.47,"CGP2.csv"
"Mytilaster solisianus","sessile",0.01,"invertebrate",0.1,"CGP2.csv"
"Crassostrea virginica","sessile",9.53,"invertebrate",142.94,"CGP2.csv"
"Cumacea","walking",0.01,"invertebrate",0.001,"CGP2.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"CGP2.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"CGP2.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"CGP2.csv"
"Pachygrapsus transversus","walking",9.76,"invertebrate",19.51,"CGP2.csv"
"Palaemon northropi","swimming",0.01,"invertebrate",0.1,"CGP2.csv"
"Fissurella clenchi","walking",0.01,"invertebrate",0.1,"CGP2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",0.1,"CGP2.csv"
