"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",2e-04,"invertebrate",0.008,"CR1P4.csv"
"Polychaeta","walking",0.0064,"invertebrate",0.07,"CR1P4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"CR1P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"CR1P4.csv"
"Gammaridae","swimming",0.0033,"invertebrate",0.01,"CR1P4.csv"
"Ophiuroidea","walking",0.0039,"invertebrate",0.003,"CR1P4.csv"
"Holothuria sp.","walking",0.01,"invertebrate",0.1,"CR1P4.csv"
"Caprella sp.","walking",0.0015,"invertebrate",0.009,"CR1P4.csv"
"Musculus costulatus","sessile",0.0099,"invertebrate",0.17,"CR1P4.csv"
"Solecurtus strigilatus","sessile",0.0061,"invertebrate",0.006,"CR1P4.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CR1P4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"CR1P4.csv"
"Mytilus galloprovincialis","sessile",0.277,"invertebrate",5.15,"CR1P4.csv"
"Gobius paganellus","swimming",0.2273,"ectotherm vertebrate",0.23,"CR1P4.csv"
"Tanaidacea","walking",0.0011,"invertebrate",0.002,"CR1P4.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",8.9,"CR1P4.csv"
"Omalogyra atomus","walking",8e-04,"invertebrate",0.009,"CR1P4.csv"
"Stenothoidae","swimming",6e-04,"invertebrate",0.009,"CR1P4.csv"
"Barleeia sp.","walking",0.003,"invertebrate",0.009,"CR1P4.csv"
"Lipophrys pholis","swimming",1.08,"ectotherm vertebrate",1.08,"CR1P4.csv"
"Acanthochitona crinita","walking",0.0011,"invertebrate",0.1,"CR1P4.csv"
"Paracentrotus lividus","walking",4.04,"invertebrate",12.13,"CR1P4.csv"
"Lophozozymus incisus","walking",0.01,"invertebrate",0.6,"CR1P4.csv"
"Eriphia verrucosa","walking",0.73,"invertebrate",1.46,"CR1P4.csv"
"Patella depressa","walking",0.293,"invertebrate",0.88,"CR1P4.csv"
"Patella ulyssiponensis","walking",0.0042,"invertebrate",0.95,"CR1P4.csv"
"Pirimela denticulata","walking",0.0438,"invertebrate",0.04,"CR1P4.csv"
"Gibbula umbilicalis","walking",0.368,"invertebrate",5.52,"CR1P4.csv"
"Rissoidae","walking",0.0028,"invertebrate",0.0028,"CR1P4.csv"
"Ampithoidae","swimming",0.0012,"invertebrate",0.024,"CR1P4.csv"
"Cladophora rupestris","sessile",0.000228,"primary producer",1.06,"CR1P4.csv"
"Leathesia marina","sessile",0.000228,"primary producer",1.72,"CR1P4.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.467,"CR1P4.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",0.1,"CR1P4.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",38.33,"CR1P4.csv"
"Anemonia sulcata","sessile",40.89,"invertebrate",122.68,"CR1P4.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",0.1,"CR1P4.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",27.33,"CR1P4.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",231,"CR1P4.csv"
"Chondrus crispus","sessile",0.000228,"primary producer",35.95,"CR1P4.csv"
