"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"F1P3.csv"
"Tedania anhelans","sessile",51.8,"invertebrate",51.8,"F1P3.csv"
"Chthamalus dentatus","sessile",0.01,"invertebrate",0.1,"F1P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"F1P3.csv"
"Palythoa nelliae","sessile",474.8,"invertebrate",474.8,"F1P3.csv"
"Isaurus tuberculatus","sessile",0.01,"invertebrate",0.1,"F1P3.csv"
"Bryozoa","sessile",0.0121,"invertebrate",0.01,"F1P3.csv"
"Platyhelminthes","walking",0.01,"invertebrate",0.01,"F1P3.csv"
"Diplosoma modestum","sessile",0.01,"invertebrate",0.1,"F1P3.csv"
"Hymeniacidon sp.","sessile",0.01,"invertebrate",0.1,"F1P3.csv"
"Haliclona sp.","sessile",9.8,"invertebrate",9.8,"F1P3.csv"
"Polychaeta","walking",0.0048,"invertebrate",0.063,"F1P3.csv"
"Oligochaeta","walking",0.0035,"invertebrate",0.011,"F1P3.csv"
"Ophiurida","walking",0.0255,"invertebrate",0.036,"F1P3.csv"
"Acanthonyx quadridentatus","walking",0.01,"invertebrate",0.1,"F1P3.csv"
"Menaethius monoceros","walking",0.002,"invertebrate",0.0033,"F1P3.csv"
"Perna perna","sessile",5e-04,"invertebrate",5e-04,"F1P3.csv"
"Cirolanidae","swimming",7e-04,"invertebrate",7e-04,"F1P3.csv"
"Caulerpa racemosa v. uvifera","sessile",0.000228,"primary producer",275.2,"F1P3.csv"
"Parvulastra exigua","walking",0.21,"invertebrate",0.019,"F1P3.csv"
"Rissoidae","walking",0.0033,"invertebrate",0.013,"F1P3.csv"
"Antennablennius bifilum","swimming",1.35,"ectotherm vertebrate",1.35,"F1P3.csv"
"Calcinus laevimanus","walking",0.843,"invertebrate",2.53,"F1P3.csv"
"Clibanarius virescens","walking",3.999,"invertebrate",79.97,"F1P3.csv"
"Halimeda cuneata","sessile",0.000228,"primary producer",29.6,"F1P3.csv"
"Mitridae","walking",0.0026,"invertebrate",0.0026,"F1P3.csv"
"Helcogramma obtusirostris","swimming",0.81,"ectotherm vertebrate",0.81,"F1P3.csv"
"Thalessa savignyi","walking",0.0061,"invertebrate",0.012,"F1P3.csv"
"Charybdis natator","walking",42.06,"invertebrate",84.12,"F1P3.csv"
"Neomeris vanbosseae","sessile",0.000228,"primary producer",0.01,"F1P3.csv"
"Chamaedoris delphinii","sessile",0.000228,"primary producer",26.62,"F1P3.csv"
"Dictyosphaeria cavernosa","sessile",0.000228,"primary producer",3.15,"F1P3.csv"
"Ulva sp.","sessile",0.000228,"primary producer",0.01,"F1P3.csv"
"Chondria armata","sessile",0.000228,"primary producer",137.3,"F1P3.csv"
"Osmundaria melvillii","sessile",0.000228,"primary producer",173.5,"F1P3.csv"
"Gelidium sp.","sessile",0.000228,"primary producer",342.4,"F1P3.csv"
"Hypnea sp.","sessile",0.000228,"primary producer",17.06,"F1P3.csv"
"Gracilaria corticata","sessile",0.000228,"primary producer",409.4,"F1P3.csv"
"Gracilaria salicornia","sessile",0.000228,"primary producer",268.266666666667,"F1P3.csv"
"Dictyopteris longifolia","sessile",0.000228,"primary producer",0.01,"F1P3.csv"
"Hormophysa cuneiformis","sessile",0.000228,"primary producer",27.76,"F1P3.csv"
"Sargassum aquifolium","sessile",0.000228,"primary producer",94.8,"F1P3.csv"
"Sargassum elegans","sessile",0.000228,"primary producer",282,"F1P3.csv"
"Nemertea","walking",2e-04,"invertebrate",2e-04,"F1P3.csv"
"Anemonia natalensis","sessile",0.0036,"invertebrate",0.22,"F1P3.csv"
"Valonia macrophysa","sessile",0.000228,"primary producer",136,"F1P3.csv"
"Amphilochidae","swimming",0.0011,"invertebrate",0.0034,"F1P3.csv"
