"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"FXBP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"FXBP1.csv"
"Cinachyrella alloclada","sessile",0.01,"invertebrate",1,"FXBP1.csv"
"Phallusia nigra","sessile",0.01,"invertebrate",0.1,"FXBP1.csv"
"Diplodonta sp.","sessile",5e-04,"invertebrate",5e-04,"FXBP1.csv"
"Eudistoma vannamei","sessile",0.01,"invertebrate",0.1,"FXBP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"FXBP1.csv"
"Harparticoida","swimming",0.001,"invertebrate",3e-04,"FXBP1.csv"
"Gammaridae","swimming",0.0012,"invertebrate",0.0162,"FXBP1.csv"
"Fissurella rosea","walking",0.0013,"invertebrate",0.0039,"FXBP1.csv"
"Callinectes sp.","swimming",0.0077,"invertebrate",0.0077,"FXBP1.csv"
"Stramonita haemastoma","walking",2.21,"invertebrate",0.62,"FXBP1.csv"
"Eulithidium affine","walking",0.0017,"invertebrate",0.0157,"FXBP1.csv"
"Clibanarius antillensis","walking",0.188,"invertebrate",0.94,"FXBP1.csv"
"Caulerpa scalpelliformis","sessile",0.000228,"primary producer",0.4,"FXBP1.csv"
"Tegula viridula","walking",4.05,"invertebrate",4.05,"FXBP1.csv"
"Bathygobius soporator","swimming",0.54,"ectotherm vertebrate",0.54,"FXBP1.csv"
"Isopoda","walking",1e-04,"invertebrate",0.001,"FXBP1.csv"
"Valonia aegagropila","sessile",0.000228,"primary producer",10,"FXBP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",29.5,"FXBP1.csv"
"Padina gymnospora","sessile",0.000228,"primary producer",3.46,"FXBP1.csv"
"Spatoglossum schroederi","sessile",0.000228,"primary producer",6,"FXBP1.csv"
"Sphacelaria sp.","sessile",0.000228,"primary producer",390,"FXBP1.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",81,"FXBP1.csv"
"Chondria curvilineata","sessile",0.000228,"primary producer",0.1,"FXBP1.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",4.4,"FXBP1.csv"
"Corallina sp.","sessile",0.000228,"primary producer",0.01,"FXBP1.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"FXBP1.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",750,"FXBP1.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",11.3,"FXBP1.csv"
"Plocamium brasiliense","sessile",0.000228,"primary producer",11.83,"FXBP1.csv"
