"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"GJAP1.csv"
"Tedania sp.","sessile",0.01,"invertebrate",0.1,"GJAP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"GJAP1.csv"
"Polychaeta","walking",0.0034,"invertebrate",0.0169,"GJAP1.csv"
"Gammaridae","swimming",0.0014,"invertebrate",0.0112,"GJAP1.csv"
"Pagurus sp.","walking",0.426,"invertebrate",2.13,"GJAP1.csv"
"Palaemon northropi","swimming",0.36,"invertebrate",0.36,"GJAP1.csv"
"Fissurella rosea","walking",0.0013,"invertebrate",0.004,"GJAP1.csv"
"Stramonita haemastoma","walking",4.07,"invertebrate",4.07,"GJAP1.csv"
"Eulithidium affine","walking",0.0028,"invertebrate",0.0112,"GJAP1.csv"
"Haemulon parra","swimming",0.01,"ectotherm vertebrate",0.1,"GJAP1.csv"
"Scartella cristata","swimming",0.2735,"ectotherm vertebrate",0.547,"GJAP1.csv"
"Tanaidacea","walking",6e-04,"invertebrate",0.0031,"GJAP1.csv"
"Idotea","walking",0.0037,"invertebrate",0.011,"GJAP1.csv"
"Amphitoidae","swimming",0.0011,"invertebrate",0.0045,"GJAP1.csv"
"Oligochaeta","walking",7e-04,"invertebrate",0.0022,"GJAP1.csv"
"Caulerpa racemosa","sessile",0.000228,"primary producer",8.42,"GJAP1.csv"
"Aplysia dactylomela","walking",78.27,"invertebrate",234.81,"GJAP1.csv"
"Caulerpa prolifera","sessile",0.000228,"primary producer",3.36,"GJAP1.csv"
"Caulerpa scalpelliformis","sessile",0.000228,"primary producer",3.94,"GJAP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",19.47,"GJAP1.csv"
"Padina gymnospora","sessile",0.000228,"primary producer",1.96,"GJAP1.csv"
"Spatoglossum schroederi","sessile",0.000228,"primary producer",11.2,"GJAP1.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",60.7,"GJAP1.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",23.95,"GJAP1.csv"
"Corallina sp.","sessile",0.000228,"primary producer",87.5,"GJAP1.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"GJAP1.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",107.4,"GJAP1.csv"
"Gracilaria Birdiae","sessile",0.000228,"primary producer",30.8,"GJAP1.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",12.9,"GJAP1.csv"
"Plocamium sp.","sessile",0.000228,"primary producer",51.7,"GJAP1.csv"
