"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"GJBP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"GJBP1.csv"
"Lysmata sp.","walking",0.01,"invertebrate",0.1,"GJBP1.csv"
"Ostracoda","swimming",0.001,"invertebrate",0.01,"GJBP1.csv"
"Polychaeta","walking",0.0018,"invertebrate",0.0035,"GJBP1.csv"
"Tedania sp.","sessile",0.01,"invertebrate",0.1,"GJBP1.csv"
"Gammaridae","swimming",0.0019,"invertebrate",0.0133,"GJBP1.csv"
"Fissurella rosea","walking",0.001,"invertebrate",0.1,"GJBP1.csv"
"Callinectes sp.","swimming",0.01,"invertebrate",0.1,"GJBP1.csv"
"Olivancillaria sp.","walking",0.14,"invertebrate",0.14,"GJBP1.csv"
"Eulithidium affine","walking",0.0018,"invertebrate",0.0264,"GJBP1.csv"
"Sphoeroides sp.","swimming",0.1,"ectotherm vertebrate",0.1,"GJBP1.csv"
"Odostomia sp.","walking",0.0055,"invertebrate",0.0055,"GJBP1.csv"
"Haemulon parra","swimming",0.01,"ectotherm vertebrate",0.1,"GJBP1.csv"
"Bathygobius soporator","swimming",0.01,"ectotherm vertebrate",0.1,"GJBP1.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"GJBP1.csv"
"Idotea","walking",0.01,"invertebrate",0.001,"GJBP1.csv"
"Isopoda","walking",0.001,"invertebrate",0.002,"GJBP1.csv"
"Amphitoidae","swimming",0.0069,"invertebrate",0.0556,"GJBP1.csv"
"Hippolyte obliquimanus","walking",0.01,"invertebrate",0.1,"GJBP1.csv"
"Bryopsis pennata","sessile",0.000228,"primary producer",2,"GJBP1.csv"
"Tegula viridula","walking",3.72,"invertebrate",3.72,"GJBP1.csv"
"Aplysia dactylomela","walking",117.22,"invertebrate",117.22,"GJBP1.csv"
"Scartella cristata","swimming",0.9,"ectotherm vertebrate",0.9,"GJBP1.csv"
"Menippe nodifrons","walking",0.01,"invertebrate",0.1,"GJBP1.csv"
"Eriphia gonagra","walking",0.01,"invertebrate",0.1,"GJBP1.csv"
"Caulerpa scalpelliformis","sessile",0.000228,"primary producer",0.7,"GJBP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",400,"GJBP1.csv"
"Lobophora variegata","sessile",0.000228,"primary producer",0.8,"GJBP1.csv"
"Padina gymnospora","sessile",0.000228,"primary producer",16,"GJBP1.csv"
"Spatoglossum schroederi","sessile",0.000228,"primary producer",25,"GJBP1.csv"
"Dictyota sp.","sessile",0.000228,"primary producer",3,"GJBP1.csv"
"Sphacelaria sp.","sessile",0.000228,"primary producer",16.75,"GJBP1.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",1.68,"GJBP1.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",7,"GJBP1.csv"
"Corallina sp.","sessile",0.000228,"primary producer",30500,"GJBP1.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"GJBP1.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",100.5,"GJBP1.csv"
"Gracilaria sp.","sessile",0.000228,"primary producer",27.5,"GJBP1.csv"
"Pagurus sp.","walking",1.15,"invertebrate",11.53,"GJBP1.csv"
