"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"L2P3.csv"
"Musculus costulatus","sessile",0.003,"invertebrate",0.06,"L2P3.csv"
"Tricolia pullus","walking",0.0088,"invertebrate",0.02,"L2P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L2P3.csv"
"Ophiuroidea","walking",0.01,"invertebrate",0.01,"L2P3.csv"
"Venerupis sp.","sessile",0.0027,"invertebrate",0.003,"L2P3.csv"
"Oligochaeta","walking",0.013,"invertebrate",0.04,"L2P3.csv"
"Mytilus galloprovincialis","sessile",0.13,"invertebrate",1.94,"L2P3.csv"
"Gobius paganellus","swimming",0.1,"ectotherm vertebrate",0.1,"L2P3.csv"
"Solecurtus strigilatus","sessile",0.068,"invertebrate",0.07,"L2P3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",1071.5,"L2P3.csv"
"Sphaeromatidae","walking",0.0031,"invertebrate",0.003,"L2P3.csv"
"Lipophrys pholis","swimming",0.68,"ectotherm vertebrate",0.68,"L2P3.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.006,"L2P3.csv"
"Barleeia sp.","walking",0.003,"invertebrate",0.06,"L2P3.csv"
"Acanthochitona crinita","walking",0.006,"invertebrate",0.05,"L2P3.csv"
"Lepidochitona cinerea","walking",3e-04,"invertebrate",3e-04,"L2P3.csv"
"Pachygrapsus marmoratus","walking",0.01,"invertebrate",2.02,"L2P3.csv"
"Patella ulyssiponensis","walking",1.36,"invertebrate",14.94,"L2P3.csv"
"Gibbula umbilicalis","walking",0.54,"invertebrate",9.7,"L2P3.csv"
"Paracentrotus lividus","walking",4.32,"invertebrate",34.53,"L2P3.csv"
"Rissoidae","walking",0.01,"invertebrate",0.01,"L2P3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",183.6,"L2P3.csv"
"Anemonia sulcata","sessile",9.74,"invertebrate",38.95,"L2P3.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",556.6,"L2P3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"L2P3.csv"
"Rhodymenia pseudopalmata","sessile",0.000228,"primary producer",51.2,"L2P3.csv"
