"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Scartella cristata","swimming",0.55,"ectotherm vertebrate",3.32,"PGUBP2.csv"
"Pachygrapsus transversus","walking",0.58,"invertebrate",2.89,"PGUBP2.csv"
"PhytoP","other",1e-04,"primary producer",0.5,"PGUBP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"PGUBP2.csv"
"Microphrys bicornutus","walking",0.5,"invertebrate",0.5,"PGUBP2.csv"
"Petaloconchus sp","sessile",0.25,"invertebrate",0.25,"PGUBP2.csv"
"Mytilaster solisianus","sessile",0.01,"invertebrate",0.1,"PGUBP2.csv"
"Isognomon bicolor","sessile",1.42,"invertebrate",1.42,"PGUBP2.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"PGUBP2.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"PGUBP2.csv"
"Codium sp.","sessile",0.000228,"primary producer",0.01,"PGUBP2.csv"
"Fissurella clenchi","walking",0.01,"invertebrate",0.1,"PGUBP2.csv"
"Caulerpa racemosa","sessile",0.000228,"primary producer",111.6,"PGUBP2.csv"
"Sargassum cymosum","sessile",0.000228,"primary producer",0.01,"PGUBP2.csv"
"Asteronema breviarticulatum","sessile",0.000228,"primary producer",0.01,"PGUBP2.csv"
"Bachelotia sp","sessile",0.000228,"primary producer",137.6,"PGUBP2.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.01,"PGUBP2.csv"
"Cronius ruber","walking",0.01,"invertebrate",0.1,"PGUBP2.csv"
"Stramonita haemastoma","walking",2.85,"invertebrate",14.26,"PGUBP2.csv"
"Padina sp.","sessile",0.000228,"primary producer",0.01,"PGUBP2.csv"
