"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PP1I4.csv"
"Mytilus sp.","sessile",1.2491,"invertebrate",18.37,"PP1I4.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"PP1I4.csv"
"Gammarus oceanicus","swimming",0.1443,"invertebrate",1.15,"PP1I4.csv"
"Ulvaria obscura","sessile",0.000228,"primary producer",65.21,"PP1I4.csv"
"Littorina littorea","walking",1.8307,"invertebrate",1.83,"PP1I4.csv"
"Littorina obtusata","walking",0.1349,"invertebrate",1.04,"PP1I4.csv"
"Littorina saxatilis","walking",0.0709,"invertebrate",0.77,"PP1I4.csv"
"Testudinalia testudinalis","walking",0.1833,"invertebrate",0.73,"PP1I4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"PP1I4.csv"
"Dictyosiphon foeniculaceus","sessile",0.000228,"primary producer",135.87,"PP1I4.csv"
"Fucus","sessile",0.000228,"primary producer",894.96,"PP1I4.csv"
"Petalonia fascia","sessile",0.000228,"primary producer",167.73,"PP1I4.csv"
"Alaria esculenta","sessile",0.000228,"primary producer",19.73,"PP1I4.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"PP1I4.csv"
"Saccharina latissima","sessile",0.000228,"primary producer",21.33,"PP1I4.csv"
"Polysiphonia sp.","sessile",0.000228,"primary producer",4.2,"PP1I4.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"PP1I4.csv"
