"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Polychaeta","walking",2e-04,"invertebrate",2e-04,"PP2M4.csv"
"Ascophyllum nodosum","sessile",0.000228,"primary producer",1663,"PP2M4.csv"
"Hediste diversicolor","walking",0.0169,"invertebrate",0.02,"PP2M4.csv"
"Littorina obtusata","walking",0.2952,"invertebrate",2.95,"PP2M4.csv"
"Littorina saxatilis","walking",0.0673,"invertebrate",0.67,"PP2M4.csv"
"Testudinalia testudinalis","walking",0.3073,"invertebrate",0.78,"PP2M4.csv"
"Gammarus oceanicus","swimming",0.1219,"invertebrate",1.1,"PP2M4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"PP2M4.csv"
"Mytilus sp.","sessile",2.6321,"invertebrate",26.32,"PP2M4.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"PP2M4.csv"
"Oligochaeta","walking",4e-04,"invertebrate",0.0012,"PP2M4.csv"
"Sertulariidae","sessile",0.0158,"invertebrate",0.02,"PP2M4.csv"
"Fucus","sessile",0.000228,"primary producer",435.68,"PP2M4.csv"
"Aulactinia stella","sessile",0.8157,"invertebrate",2.45,"PP2M4.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"PP2M4.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"PP2M4.csv"
"Hildenbrandia rubra","sessile",0.000228,"primary producer",0.1,"PP2M4.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",2e-04,"PP2M4.csv"
