"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"RMP2.csv"
"Batzella inops","sessile",0.01,"invertebrate",0.1,"RMP2.csv"
"Petaloconchus sp","sessile",0.01,"invertebrate",0.1,"RMP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"RMP2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"RMP2.csv"
"Parablennius parvicornis","swimming",0.15,"ectotherm vertebrate",0.15,"RMP2.csv"
"Tanaidacea","walking",0.0013,"invertebrate",0.0013,"RMP2.csv"
"Isopoda","walking",0.0013,"invertebrate",0.009,"RMP2.csv"
"Insecta","swimming",2e-04,"invertebrate",2e-04,"RMP2.csv"
"Polychaeta","walking",3e-04,"invertebrate",0.003,"RMP2.csv"
"Oligochaeta","walking",3e-04,"invertebrate",3e-04,"RMP2.csv"
"Ulva sp.","sessile",0.000228,"primary producer",8.67,"RMP2.csv"
"Coryphoblennius galerita","swimming",0.53,"ectotherm vertebrate",2.65,"RMP2.csv"
"Omalogyra atomus","walking",3e-04,"invertebrate",0.012,"RMP2.csv"
"Pachygrapsus transversus","walking",4.56,"invertebrate",9.12,"RMP2.csv"
"Sargassum vulgare","sessile",0.000228,"primary producer",2.88,"RMP2.csv"
"Padina pavonica","sessile",0.000228,"primary producer",1,"RMP2.csv"
"Rhodomelaceae","sessile",0.000228,"primary producer",8700,"RMP2.csv"
"Hypnea sp.","sessile",0.000228,"primary producer",9.23,"RMP2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RMP2.csv"
