"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Balanus sp.","sessile",0.01,"invertebrate",0.1,"RV1P4.csv"
"Lipophrys pholis","swimming",0.13,"ectotherm vertebrate",0.54,"RV1P4.csv"
"Gobius paganellus","swimming",0.17,"ectotherm vertebrate",1.82,"RV1P4.csv"
"Polychaeta","walking",0.002,"invertebrate",0.04,"RV1P4.csv"
"Nucella sp.","walking",0.0094,"invertebrate",0.009,"RV1P4.csv"
"Insecta","swimming",7e-04,"invertebrate",0.015,"RV1P4.csv"
"Nassariidae","walking",0.0097,"invertebrate",0.01,"RV1P4.csv"
"Liza ramada","swimming",0.1,"ectotherm vertebrate",0.1,"RV1P4.csv"
"Palaemon longirostris","swimming",0.098,"invertebrate",1.76,"RV1P4.csv"
"Lepadogaster lepadogaster","swimming",0.35,"ectotherm vertebrate",0.35,"RV1P4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"RV1P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"RV1P4.csv"
"Gammaridae","swimming",4e-04,"invertebrate",0.003,"RV1P4.csv"
"Ophiuroidea","walking",0.0055,"invertebrate",0.11,"RV1P4.csv"
"Musculus costulatus","sessile",0.0062,"invertebrate",0.12,"RV1P4.csv"
"Cardiidae","sessile",0.0012,"invertebrate",0.012,"RV1P4.csv"
"Angulus tenuis","sessile",0.0011,"invertebrate",0.003,"RV1P4.csv"
"Solecurtus strigilatus","sessile",0.028,"invertebrate",0.03,"RV1P4.csv"
"Turtonia minuta","sessile",0.0019,"invertebrate",0.01,"RV1P4.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"RV1P4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RV1P4.csv"
"Oligochaeta","walking",0.0018,"invertebrate",0.035,"RV1P4.csv"
"Mytilus galloprovincialis","sessile",0.203,"invertebrate",4.6,"RV1P4.csv"
"Tanaidacea","walking",0.0013,"invertebrate",0.009,"RV1P4.csv"
"Eriphia verrucosa","walking",0.2,"invertebrate",0.2,"RV1P4.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",3700,"RV1P4.csv"
"Paracentrotus lividus","walking",0.243,"invertebrate",0.73,"RV1P4.csv"
"Acanthochitona crinita","walking",0.014,"invertebrate",0.36,"RV1P4.csv"
"Lepidochitona cinerea","walking",0.187,"invertebrate",1.69,"RV1P4.csv"
"Leptochiton algesirensis","walking",0.0012,"invertebrate",0.005,"RV1P4.csv"
"Gibbula umbilicalis","walking",0.145,"invertebrate",3.48,"RV1P4.csv"
"Rissoidae","walking",0.0015,"invertebrate",0.002,"RV1P4.csv"
"Omalogyra atomus","walking",5e-04,"invertebrate",0.004,"RV1P4.csv"
"Barleeia sp.","walking",0.0023,"invertebrate",0.05,"RV1P4.csv"
"Sphaeromatidae","walking",0.0056,"invertebrate",0.03,"RV1P4.csv"
"Ampithoidae","swimming",0.0017,"invertebrate",0.06,"RV1P4.csv"
"Stenothoidae","swimming",4e-04,"invertebrate",0.003,"RV1P4.csv"
"Palaemon elegans","swimming",1.75,"invertebrate",3.5,"RV1P4.csv"
"Lophozozymus incisus","walking",0.45,"invertebrate",0.9,"RV1P4.csv"
"Pirimela denticulata","walking",0.0085,"invertebrate",0.14,"RV1P4.csv"
"Leathesia marina","sessile",0.000228,"primary producer",14,"RV1P4.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"RV1P4.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",44.73,"RV1P4.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",180.4,"RV1P4.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",185.5,"RV1P4.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"RV1P4.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",0.1,"RV1P4.csv"
"Turridae","walking",0.0042,"invertebrate",0.03,"RV1P4.csv"
"Anemonia sulcata","sessile",69.2,"invertebrate",346,"RV1P4.csv"
"Lysianassidae","swimming",3e-04,"invertebrate",5e-04,"RV1P4.csv"
