"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"SF1M2.csv"
"Mytilus sp.","sessile",0.9877,"invertebrate",20,"SF1M2.csv"
"Polydora sp.","walking",2e-04,"invertebrate",2e-04,"SF1M2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"SF1M2.csv"
"Gammarus oceanicus","swimming",0.1665,"invertebrate",1.66,"SF1M2.csv"
"Fucus","sessile",0.000228,"primary producer",12.64,"SF1M2.csv"
"Littorina obtusata","walking",0.1472,"invertebrate",1.47,"SF1M2.csv"
"Littorina saxatilis","walking",0.0829,"invertebrate",0.83,"SF1M2.csv"
"Petalonia fascia","sessile",0.000228,"primary producer",1.32,"SF1M2.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"SF1M2.csv"
