"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"SF2I2.csv"
"Mytilus sp.","sessile",1.4042,"invertebrate",27.58,"SF2I2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"SF2I2.csv"
"Harpacticoida","swimming",0.001,"invertebrate",0.001,"SF2I2.csv"
"Fabricia stellaris","sessile",2e-04,"invertebrate",3e-04,"SF2I2.csv"
"Oligochaeta","walking",2e-04,"invertebrate",2e-04,"SF2I2.csv"
"Gammarus oceanicus","swimming",0.0595,"invertebrate",0.77,"SF2I2.csv"
"Balanus crenatus","sessile",0.0975,"invertebrate",0.18,"SF2I2.csv"
"Ulvaria obscura","sessile",0.000228,"primary producer",0.88,"SF2I2.csv"
"Littorina littorea","walking",0.0017,"invertebrate",0.003,"SF2I2.csv"
"Littorina obtusata","walking",0.0781,"invertebrate",0.85,"SF2I2.csv"
"Littorina saxatilis","walking",0.1067,"invertebrate",1.07,"SF2I2.csv"
"Testudinalia testudinalis","walking",0.4602,"invertebrate",4.6,"SF2I2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"SF2I2.csv"
"Dictyosiphon foeniculaceus","sessile",0.000228,"primary producer",0.41,"SF2I2.csv"
"Petalonia fascia","sessile",0.000228,"primary producer",1.25,"SF2I2.csv"
"Polysiphonia sp.","sessile",0.000228,"primary producer",4.62,"SF2I2.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"SF2I2.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",22.82,"SF2I2.csv"
