"","benthic detritus","Ictalurus nebulosus","fish fry","Lepomis gibbosus","Catostomus commersoni","fish eggs","Oocyctis sp.","Daphnia catawba","Daphnia longiremis","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella taurocephala","Keratella testudo","Cryptomonas ovata","Kelicottia bostoniensis","Holopedium gibberum","Staurastrum sp.","Polyarthra remata","Conochiloides unicornis","Lecane sp.","Dinobryon bavaricum","Sphaerocystis schroeteri","Tabellaria fenestrata","Chrysocapsa planktonica","Quadrigula sp.","Navicula sp.","Spondylosium planum","Chrysosphaerella longispina","Dictyosphaerium pulchellum","Tetraedron minimum","Schroederia setigera","Trichocerca similis","Gastropus stylifer","Polyarthra major","Polyarthra euryptera","Trichocerca multicrinis","Bosmina longirostris","Keratella crassa","Elakatrothrix gelatinosa","Crucigenia quadrata","Rhabdoderma lineare","Botryococcus braunii","Synchaeta sp.","Ankistrodesmus sp.","Merismopedia tenuissima","Chroococcus limneticus","Colletheca mutabilis","Diaphanosoma birgei","copepod nauplii","Tropocyclops prasinus","Mesocyclops edax","Cyclops vernalis","Salvelinus namaycush","Salvelinus fontinalis small","Salvelinus fontinalis large","Notemigonus crysoleucas","Asplanchna sp.","Peridinium inconspicuum","Peridinium limbatum","Peridinium wisconsinense"
"benthic detritus",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"fish fry",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Lepomis gibbosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"fish eggs",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oocyctis sp.",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnia catawba",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Daphnia longiremis",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Diaptomus minutus",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
