"","benthic detritus","Ictalurus nebulosus","Chydorus sphaericus","Oocyctis sp.","Daphnia catawba","Daphnia longiremis","Diaptomus leptopus","Diaptomus minutus","Xanthidium sp.","Cryptomonas erosa","Keratella taurocephala","Cryptomonas ovata","Kelicottia bostoniensis","Kelicottia longispina","Holopedium gibberum","Mallomonas sp.","Dinobryon bavaricum","Dinobryon sertularia","Dinobryon sp.","Sphaerocystis schroeteri","Tabellaria fenestrata","Navicula sp.","Chrysosphaerella longispina","Schroederia setigera","Melosira sp.","Gastropus stylifer","Polyarthra major","Bosmina longirostris","Conochiloides dossuarius","Aphanothece sp.","Nitzschia sp.","Closterium sp.","Botryococcus braunii","Synchaeta sp.","Merismopedia tenuissima","Colletheca mutabilis","Diaphanosoma birgei","copepod nauplii","Tropocyclops prasinus","Mesocyclops edax","Ceratium carolinianum"
"benthic detritus",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chydorus sphaericus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Oocyctis sp.",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnia catawba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daphnia longiremis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus leptopus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Diaptomus minutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Xanthidium sp.",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptomonas erosa",0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0
