"","benthic detritus","Ictalurus nebulosus","Luxilus cornutus","Semotilus atromaculatus","Catostomus catostomus","fish fry","Lepomis gibbosus","Catostomus commersoni","fish eggs","Perca flavescens","Ambloplites rupestris","Oocyctis sp.","Diaptomus sicilis","Diaptomus minutus","Cryptomonas erosa","Keratella cochlearis","Keratella serrulata","Keratella taurocephala","Cryptomonas ovata","Holopedium gibberum","Mallomonas sp.","Staurastrum sp.","Coelastrum cambricum","Polyarthra remata","Dinobryon sp.","Sphaerocystis schroeteri","Conochiloides unicornis","Chrysosphaerella longispina","Schroederia setigera","Gastropus stylifer","Polyarthra euryptera","Elakatrothrix gelatinosa","Bosmina longirostris","Conochiloides dossuarius","Keratella crassa","Trichotria tetractis","Ceriodaphnia quadrangula","Daphnia ambigua","Daphnia parvula","Merismopedia tenuissima","Chroococcus limneticus","Colletheca mutabilis","Diaphanosoma birgei","copepod nauplii","Leptodora kindtii","Tropocyclops prasinus","Eucyclops agilis","Mesocyclops edax","Epishura lacustris","Asplanchna sp.","Peridinium wisconsinense","nanoflagellates ","Notemigonus crysoleucas","Uroglenopsis americana"
"benthic detritus",0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ictalurus nebulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxilus cornutus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Semotilus atromaculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catostomus catostomus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish fry",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepomis gibbosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catostomus commersoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish eggs",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Perca flavescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
