"","benthic detritus","Chydorus sphaericus","fish eggs","fish fry","Oocyctis sp.","Diaptomus sicilis","Diaptomus leptopus","Diaptomus minutus","Cryptomonas erosa","Keratella taurocephala","Keratella testudo","Cryptomonas ovata","Kelicottia longispina","Daphnia pulex","Holopedium gibberum","Mallomonas sp.","Dinobryon bavaricum","Dinobryon sp.","Sphaerocystis schroeteri","Navicula sp.","Tetraedron caudatum","Schroederia setigera","Bosmina longirostris","Scenedesmus sp.","Conochiloides dossuarius","Merismopedia tenuissima","Diaphanosoma birgei","copepod nauplii","Eucyclops agilis","Mesocyclops edax","Cyclops vernalis","Salvelinus fontinalis","Peridinium inconspicuum"
"benthic detritus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chydorus sphaericus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"fish eggs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fish fry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Oocyctis sp.",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaptomus sicilis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Diaptomus leptopus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Diaptomus minutus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Cryptomonas erosa",0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"Keratella taurocephala",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Keratella testudo",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Cryptomonas ovata",0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
