,Lake_species,Taxa.x,study.site,foodweb.name,taxonomy,taxonomy.level,common,lifestage,metabolic.type,movement.type,mass.mean.g.,geographic.location,longitude,latitude,ecosystem.type,altitude,include,notes,lake_database,Taxa.y,Count.of.Lake_species,Sum.of.phyto_density_ind_ml,Sum.of.zoop_density_ind_m3,Sum.of.fish_number,Sum.of.effort_h,CPUE,density,species_type,logN,logM,logCPUE,logCPUE.pred,log10.density.comb,density.comb,biomass,biomass_units
1,Alford lake_Alona affinis,Alona affinis,Adirondack lakes,Alford lake,Alona affinis,species,water flea,NA,invertebrate,swimming,3.20E-06,USA,-74.04,44.26,lakes,596,1,,Alford lake,Alona affinis,1,0,14,0,0,NA,1.40E-05,zooplankton,-4.853871964,-5.494850022,NA,NA,-4.853871964,1.40E-05,4.48E-11,g.ml
2,Alford lake_Aphanocapsa sp.,Aphanocapsa sp.,Adirondack lakes,Alford lake,Aphanocapsa sp.,genus,cyanobacteria,NA,primary producer,floating,7.82E-12,USA,-74.04,44.26,lakes,596,1,,Alford lake,Aphanocapsa sp.,1,3.5,0,0,0,NA,3.5,phytoplankton,0.544068044,-11.10679325,NA,NA,0.544068044,3.5,2.74E-11,g.ml
3,Alford lake_Arthrodesmus incus,Arthrodesmus incus,Adirondack lakes,Alford lake,Arthrodesmus incus,species,phytoplankton,NA,primary producer,floating,2.39E-10,USA,-74.04,44.26,lakes,596,1,,Alford lake,Arthrodesmus incus,1,1.8,0,0,0,NA,1.8,phytoplankton,0.255272505,-9.621602099,NA,NA,0.255272505,1.8,4.30E-10,g.ml
4,Alford lake_Arthrodesmus subulatus,Arthrodesmus subulatus,Adirondack lakes,Alford lake,Arthrodesmus subulatus,species,phytoplankton,NA,primary producer,floating,2.39E-10,USA,-74.04,44.26,lakes,596,1,,Alford lake,Arthrodesmus subulatus,1,1.8,0,0,0,NA,1.8,phytoplankton,0.255272505,-9.621602099,NA,NA,0.255272505,1.8,4.30E-10,g.ml
5,Alford lake_Ascomorpha ecaudis,Ascomorpha ecaudis,Adirondack lakes,Alford lake,Ascomorpha ecaudis,species,rotifer,NA,invertebrate,swimming,3.18E-07,USA,-74.04,44.26,lakes,596,1,,Alford lake,Ascomorpha ecaudis,1,0,1563,0,0,NA,0.001563,zooplankton,-2.806041022,-6.49757288,NA,NA,-2.806041022,0.001563,4.97E-10,g.ml
6,Alford lake_Asplanchna sp.,Asplanchna sp.,Adirondack lakes,Alford lake,Asplanchna sp.,genus,rotifer,NA,invertebrate,swimming,7.35E-06,USA,-74.04,44.26,lakes,596,1,,Alford lake,Asplanchna sp.,1,0,110156,0,0,NA,0.110156,zooplankton,-0.957991843,-5.133712661,NA,NA,-0.957991843,0.110156,8.10E-07,g.ml
7,Alford lake_benthic detritus,benthic detritus,Adirondack lakes,Alford lake,benthic detritus,NA,NA,NA,detritus,sessile,NA,USA,-74.04,44.26,lakes,596,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,detritus,NA,NA,NA,NA,NA,NA,NA,g.ml
8,Alford lake_Bosmina longirostris,Bosmina longirostris,Adirondack lakes,Alford lake,Bosmina longirostris,species,water flea,NA,invertebrate,swimming,1.55E-06,USA,-74.04,44.26,lakes,596,1,,Alford lake,Bosmina longirostris,1,0,27347,0,0,NA,0.027347,zooplankton,-1.563090309,-5.809668302,NA,NA,-1.563090309,0.027347,4.24E-08,g.ml
9,Alford lake_Ceriodaphnia quadrangula,Ceriodaphnia quadrangula,Adirondack lakes,Alford lake,Ceriodaphnia quadrangula,species,water flea,NA,invertebrate,swimming,5.85E-06,USA,-74.04,44.26,lakes,596,1,,Alford lake,Ceriodaphnia quadrangula,1,0,2903,0,0,NA,0.002903,zooplankton,-2.537152964,-5.232844134,NA,NA,-2.537152964,0.002903,1.70E-08,g.ml
10,Alford lake_Chrysocapsa planktonica,Chrysocapsa planktonica,Adirondack lakes,Alford lake,Chrysocapsa planktonica,species,phytoplankton,NA,primary producer,floating,1.00E-09,USA,-74.04,44.26,lakes,596,1,,Alford lake,Chrysocapsa planktonica,1,31.5,0,0,0,NA,31.5,phytoplankton,1.498310554,-9,NA,NA,1.498310554,31.5,3.15E-08,g.ml
