"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Beaver lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Beaver lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Ankistrodesmus falcatus",1,228.7,0,0,0,NA,228.7,"phytoplankton",2.35926616460675,-10.5900668766687,NA,NA,2.35926616460675,228.7,5.87759e-09,"g.ml"
"2","Beaver lake_Aphanothece sp.","Aphanothece sp.","Adirondack lakes","Beaver lake","Aphanothece sp.","genus","cyanobacteria",NA,"primary producer","floating",1.51e-10,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Aphanothece sp.",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-9.82102305270683,NA,NA,-0.522878745280338,0.3,4.53e-11,"g.ml"
"3","Beaver lake_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Beaver lake","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Arthrodesmus incus",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-9.62160209905186,NA,NA,-0.154901959985743,0.7,1.673e-10,"g.ml"
"4","Beaver lake_benthic detritus","benthic detritus","Adirondack lakes","Beaver lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.75,43.65,"lakes",559,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"5","Beaver lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Beaver lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Bosmina longirostris",1,0,147,0,0,NA,0.000147,"zooplankton",-3.83268266525182,-5.80966830182971,NA,NA,-3.83268266525182,0.000147,2.2785e-10,"g.ml"
"6","Beaver lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Beaver lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Botryococcus braunii",1,27.6,0,0,0,NA,27.6,"phytoplankton",1.44090908206522,-10.4388986163509,NA,NA,1.44090908206522,27.6,1.00464e-09,"g.ml"
"7","Beaver lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Beaver lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",108,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Catostomus commersoni",1,0,0,134,94.36619718,1.42000000004663,NA,"fish",NA,2.03342375548695,0.152288344397317,-7.66401647677756,-7.66401647677756,2.16762186545836e-08,2.34103161469503e-06,"g.ml"
"8","Beaver lake_Coelosphaerium sp.","Coelosphaerium sp.","Adirondack lakes","Beaver lake","Coelosphaerium sp.","genus","cyanobacteria",NA,"primary producer","floating",7.29e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Coelosphaerium sp.",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-10.137272471682,NA,NA,-0.522878745280338,0.3,2.187e-11,"g.ml"
"9","Beaver lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Beaver lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Conochiloides dossuarius",1,0,176,0,0,NA,0.000176,"zooplankton",-3.75448733218585,-5.73754891026957,NA,NA,-3.75448733218585,0.000176,3.2208e-10,"g.ml"
"10","Beaver lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Beaver lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Conochiloides unicornis",1,0,59,0,0,NA,5.9e-05,"zooplankton",-4.22914798835786,-6.49757288001557,NA,NA,-4.22914798835786,5.89999999999999e-05,1.8762e-11,"g.ml"
"11","Beaver lake_copepod nauplii","copepod nauplii","Adirondack lakes","Beaver lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","copepod nauplii",1,0,16563,0,0,NA,0.016563,"zooplankton",-1.7808609981402,-5.55284196865778,NA,NA,-1.7808609981402,0.016563,4.63764e-08,"g.ml"
"12","Beaver lake_Cosmarium sp.","Cosmarium sp.","Adirondack lakes","Beaver lake","Cosmarium sp.","genus","phytoplankton",NA,"primary producer","floating",3.49e-10,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Cosmarium sp.",1,10.2,0,0,0,NA,10.2,"phytoplankton",1.00860017176192,-9.45717457304082,NA,NA,1.00860017176192,10.2,3.5598e-09,"g.ml"
"13","Beaver lake_Crucigenia tetrapaedia","Crucigenia tetrapaedia","Adirondack lakes","Beaver lake","Crucigenia tetrapaedia","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Crucigenia tetrapaedia",1,249,0,0,0,NA,249,"phytoplankton",2.39619934709574,-10.0846001647877,NA,NA,2.39619934709574,249,2.04927e-08,"g.ml"
"14","Beaver lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Beaver lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Cryptomonas erosa",1,30.5,0,0,0,NA,30.5,"phytoplankton",1.48429983934679,-10.3233063903751,NA,NA,1.48429983934679,30.5,1.44875e-09,"g.ml"
"15","Beaver lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Beaver lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Cryptomonas ovata",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-10.3233063903751,NA,NA,0.146128035678238,1.4,6.65e-11,"g.ml"
"16","Beaver lake_Daphnia catawba","Daphnia catawba","Adirondack lakes","Beaver lake","Daphnia catawba","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Daphnia catawba",1,0,3316,0,0,NA,0.003316,"zooplankton",-2.47938547812176,-5,NA,NA,-2.47938547812176,0.003316,3.316e-08,"g.ml"
"17","Beaver lake_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","Beaver lake","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Diaphanosoma birgei",1,0,1800,0,0,NA,0.0018,"zooplankton",-2.74472749489669,-4.39685562737982,NA,NA,-2.74472749489669,0.0018,7.218e-08,"g.ml"
"18","Beaver lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Beaver lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.75,43.65,"lakes",559,1,"","Beaver lake","Diaptomus minutus",1,0,77009,0,0,NA,0.077009,"zooplankton",-1.11345851610119,-4.84163750790475,NA,NA,-1.11345851610119,0.077009,1.1089296e-06,"g.ml"
