"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Cascade lake_benthic detritus","benthic detritus","Adirondack lakes","Cascade lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.81,43.79,"lakes",553,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"2","Cascade lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Cascade lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Bosmina longirostris",1,0,219,0,0,NA,0.000219,"zooplankton",-3.65955588515988,-5.80966830182971,NA,NA,-3.65955588515988,0.000219,3.3945e-10,"g.ml"
"3","Cascade lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Cascade lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Botryococcus braunii",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-10.4388986163509,NA,NA,-0.522878745280338,0.3,1.092e-11,"g.ml"
"4","Cascade lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Cascade lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",195,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Catostomus commersoni",1,0,0,68,56.19834711,1.20999999994484,NA,"fish",NA,2.29003461136252,0.0827853702966514,-7.73351945087822,-7.73351945087822,1.8470580683091e-08,3.60176323320274e-06,"g.ml"
"5","Cascade lake_Coelastrum sp.","Coelastrum sp.","Adirondack lakes","Cascade lake","Coelastrum sp.","genus","phytoplankton",NA,"primary producer","floating",1.49e-09,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Coelastrum sp.",1,5.6,0,0,0,NA,5.6,"phytoplankton",0.7481880270062,-8.82681373158773,NA,NA,0.7481880270062,5.6,8.344e-09,"g.ml"
"6","Cascade lake_Conochiloides hippocrepis","Conochiloides hippocrepis","Adirondack lakes","Cascade lake","Conochiloides hippocrepis","species","rotifer",NA,"invertebrate","swimming",1.73e-05,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Conochiloides hippocrepis",1,0,22023,0,0,NA,0.022023,"zooplankton",-1.65712352120889,-4.7619538968712,NA,NA,-1.65712352120889,0.022023,3.809979e-07,"g.ml"
"7","Cascade lake_copepod nauplii","copepod nauplii","Adirondack lakes","Cascade lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","copepod nauplii",1,0,2656,0,0,NA,0.002656,"zooplankton",-2.57577192930402,-5.55284196865778,NA,NA,-2.57577192930402,0.002656,7.4368e-09,"g.ml"
"8","Cascade lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Cascade lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Cryptomonas erosa",1,88.9,0,0,0,NA,88.9,"phytoplankton",1.94890176097021,-10.3233063903751,NA,NA,1.94890176097021,88.9,4.22275e-09,"g.ml"
"9","Cascade lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Cascade lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Cryptomonas ovata",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-10.3233063903751,NA,NA,-0.154901959985743,0.7,3.325e-11,"g.ml"
"10","Cascade lake_Cyclotella sp.","Cyclotella sp.","Adirondack lakes","Cascade lake","Cyclotella sp.","genus","phytoplankton",NA,"primary producer","floating",1.05e-10,"USA",-74.81,43.79,"lakes",553,1,"","Cascade lake","Cyclotella sp.",1,5.1,0,0,0,NA,5.1,"phytoplankton",0.707570176097936,-9.97881070093006,NA,NA,0.707570176097936,5.1,5.355e-10,"g.ml"
