"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Connera lake_Anacystis incerta","Anacystis incerta","Adirondack lakes","Connera lake","Anacystis incerta","species","cyanobacteria",NA,"primary producer","floating",4.99e-12,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Anacystis incerta",1,108.5,0,0,0,NA,108.5,"phytoplankton",2.03542973818455,-11.3018994543766,NA,NA,2.03542973818455,108.5,5.41415e-10,"g.ml"
"2","Connera lake_Ankistrodesmus spiralis","Ankistrodesmus spiralis","Adirondack lakes","Connera lake","Ankistrodesmus spiralis","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Ankistrodesmus spiralis",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-10.5900668766687,NA,NA,1.02118929906994,10.5,2.6985e-10,"g.ml"
"3","Connera lake_Aphanocapsa sp.","Aphanocapsa sp.","Adirondack lakes","Connera lake","Aphanocapsa sp.","genus","cyanobacteria",NA,"primary producer","floating",7.82e-12,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Aphanocapsa sp.",1,52.5,0,0,0,NA,52.5,"phytoplankton",1.72015930340596,-11.1067932469402,NA,NA,1.72015930340596,52.5,4.1055e-10,"g.ml"
"4","Connera lake_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Connera lake","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Arthrodesmus incus",1,1.8,0,0,0,NA,1.8,"phytoplankton",0.255272505103306,-9.62160209905186,NA,NA,0.255272505103306,1.8,4.302e-10,"g.ml"
"5","Connera lake_Asterionella formosa","Asterionella formosa","Adirondack lakes","Connera lake","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Asterionella formosa",1,145.3,0,0,0,NA,145.3,"phytoplankton",2.16226561429802,-9.29073003902417,NA,NA,2.16226561429802,145.3,7.43936e-08,"g.ml"
"6","Connera lake_benthic detritus","benthic detritus","Adirondack lakes","Connera lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-73.94,44.31,"lakes",506,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"7","Connera lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Connera lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Bosmina longirostris",1,0,9228,0,0,NA,0.009228,"zooplankton",-2.03489241415094,-5.80966830182971,NA,NA,-2.03489241415094,0.00922800000000001,1.43034e-08,"g.ml"
"8","Connera lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Connera lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Botryococcus braunii",1,3.5,0,0,0,NA,3.5,"phytoplankton",0.544068044350276,-10.4388986163509,NA,NA,0.544068044350276,3.5,1.274e-10,"g.ml"
"9","Connera lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Connera lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",208,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Catostomus commersoni",2,0,0,15,102.3529412,0.146551724104241,NA,"fish",NA,2.31806333496276,-0.834009067948482,-8.65031388912336,-8.65031388912336,2.23710367308833e-09,4.65317564002373e-07,"g.ml"
"10","Connera lake_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Connera lake","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-73.94,44.31,"lakes",506,1,"","Connera lake","Chroococcus limneticus",1,210,0,0,0,NA,210,"phytoplankton",2.32221929473392,-10.8153085691824,NA,NA,2.32221929473392,210,3.213e-09,"g.ml"
