"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Gull lake north_copepod nauplii","copepod nauplii","Adirondack lakes","Gull lake north","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.82,43.86,"lakes",598,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"2","Gull lake north_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Gull lake north","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Cryptomonas erosa",1,19.9,0,0,0,NA,19.9,"phytoplankton",1.29885307640971,-10.3233063903751,NA,NA,1.29885307640971,19.9,9.4525e-10,"g.ml"
"3","Gull lake north_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Gull lake north","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Cryptomonas ovata",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-10.3233063903751,NA,NA,0.146128035678238,1.4,6.65e-11,"g.ml"
"4","Gull lake north_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Gull lake north","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Diaptomus minutus",1,0,85266,0,0,NA,0.085266,"zooplankton",-1.06922411016874,-4.84163750790475,NA,NA,-1.06922411016874,0.085266,1.2278304e-06,"g.ml"
"5","Gull lake north_Dinobryon bavaricum","Dinobryon bavaricum","Adirondack lakes","Gull lake north","Dinobryon bavaricum","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Dinobryon bavaricum",1,2.1,0,0,0,NA,2.1,"phytoplankton",0.322219294733919,-8.86646109162978,NA,NA,0.322219294733919,2.1,2.856e-09,"g.ml"
"6","Gull lake north_Dinobryon sp.","Dinobryon sp.","Adirondack lakes","Gull lake north","Dinobryon sp.","genus","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Dinobryon sp.",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-8.86646109162978,NA,NA,-0.154901959985743,0.7,9.52e-10,"g.ml"
"7","Gull lake north_Gastropus stylifer","Gastropus stylifer","Adirondack lakes","Gull lake north","Gastropus stylifer","species","rotifer",NA,"invertebrate","swimming",8.55e-07,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Gastropus stylifer",1,0,1133,0,0,NA,0.001133,"zooplankton",-2.9457700901366,-6.06803388527183,NA,NA,-2.9457700901366,0.001133,9.68715e-10,"g.ml"
"8","Gull lake north_Kelicottia longispina","Kelicottia longispina","Adirondack lakes","Gull lake north","Kelicottia longispina","species","rotifer",NA,"invertebrate","swimming",2e-08,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Kelicottia longispina",1,0,156,0,0,NA,0.000156,"zooplankton",-3.80687540164554,-7.69897000433602,NA,NA,-3.80687540164554,0.000156,3.12e-12,"g.ml"
"9","Gull lake north_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Gull lake north","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Keratella taurocephala",1,0,270508,0,0,NA,0.270508,"zooplankton",-0.567819886548246,-8,NA,NA,-0.567819886548246,0.270508,2.70508e-09,"g.ml"
"10","Gull lake north_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","Gull lake north","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Mallomonas sp.",2,31.9,0,0,0,NA,31.9,"phytoplankton",1.50379068305718,-8.24795155218056,NA,NA,1.50379068305718,31.9,1.80235e-07,"g.ml"
"11","Gull lake north_Merismopedia punctata","Merismopedia punctata","Adirondack lakes","Gull lake north","Merismopedia punctata","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Merismopedia punctata",1,9.8,0,0,0,NA,9.8,"phytoplankton",0.991226075692495,-10.6179829574251,NA,NA,0.991226075692495,9.8,2.3618e-10,"g.ml"
"12","Gull lake north_Mesocyclops edax","Mesocyclops edax","Adirondack lakes","Gull lake north","Mesocyclops edax","species","copepod",NA,"invertebrate","swimming",1e-05,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Mesocyclops edax",1,0,35,0,0,NA,3.5e-05,"zooplankton",-4.45593195564972,-5,NA,NA,-4.45593195564972,3.5e-05,3.5e-10,"g.ml"
"13","Gull lake north_Navicula sp.","Navicula sp.","Adirondack lakes","Gull lake north","Navicula sp.","genus","diatom",NA,"primary producer","floating",9.01e-10,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Navicula sp.",1,6.7,0,0,0,NA,6.7,"phytoplankton",0.826074802700826,-9.04527520902094,NA,NA,0.826074802700826,6.7,6.0367e-09,"g.ml"
"14","Gull lake north_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","Gull lake north","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Oocyctis sp.",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-7.06499684854635,NA,NA,-0.522878745280338,0.3,2.583e-08,"g.ml"
"15","Gull lake north_Peridinium inconspicuum","Peridinium inconspicuum","Adirondack lakes","Gull lake north","Peridinium inconspicuum","species","dinoflagellate",NA,"primary producer","swimming",5.6e-08,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Peridinium inconspicuum",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-7.2518119729938,NA,NA,-0.154901959985743,0.7,3.92e-08,"g.ml"
"16","Gull lake north_Polyphemus pediculus","Polyphemus pediculus","Adirondack lakes","Gull lake north","Polyphemus pediculus","species","cladocera",NA,"invertebrate","swimming",0.00677,"USA",-74.82,43.86,"lakes",598,1,"","Gull lake north","Polyphemus pediculus",1,0,141,0,0,NA,0.000141,"zooplankton",-3.85078088734462,-2.16941133131486,NA,NA,-3.85078088734462,0.000141,9.5457e-07,"g.ml"
