"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","High pond_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","High pond","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Ankistrodesmus falcatus",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-10.5900668766687,NA,NA,1.02118929906994,10.5,2.6985e-10,"g.ml"
"2","High pond_benthic detritus","benthic detritus","Adirondack lakes","High pond","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.66,44.09,"lakes",573,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","High pond_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","High pond","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Bosmina longirostris",1,0,2,0,0,NA,2e-06,"zooplankton",-5.69897000433602,-5.80966830182971,NA,NA,-5.69897000433602,2e-06,3.1e-12,"g.ml"
"4","High pond_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","High pond","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Colletheca mutabilis",1,0,614,0,0,NA,0.000614,"zooplankton",-3.21183162885883,-4.49349496759513,NA,NA,-3.21183162885883,0.000614,1.97094e-08,"g.ml"
"5","High pond_copepod nauplii","copepod nauplii","Adirondack lakes","High pond","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.66,44.09,"lakes",573,1,"","High pond","copepod nauplii",1,0,391,0,0,NA,0.000391,"zooplankton",-3.40782324260413,-5.55284196865778,NA,NA,-3.40782324260413,0.000391,1.0948e-09,"g.ml"
"6","High pond_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","High pond","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Cryptomonas erosa",1,722.7,0,0,0,NA,722.7,"phytoplankton",2.85895805471801,-10.3233063903751,NA,NA,2.85895805471801,722.7,3.432825e-08,"g.ml"
"7","High pond_Daphnia catawba","Daphnia catawba","Adirondack lakes","High pond","Daphnia catawba","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Daphnia catawba",1,0,8,0,0,NA,8e-06,"zooplankton",-5.09691001300806,-5,NA,NA,-5.09691001300806,8e-06,8e-11,"g.ml"
"8","High pond_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","High pond","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Diaphanosoma birgei",1,0,2,0,0,NA,2e-06,"zooplankton",-5.69897000433602,-4.39685562737982,NA,NA,-5.69897000433602,2e-06,8.02e-11,"g.ml"
"9","High pond_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","High pond","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Diaptomus minutus",1,0,499,0,0,NA,0.000499,"zooplankton",-3.30189945437661,-4.84163750790475,NA,NA,-3.30189945437661,0.000499,7.1856e-09,"g.ml"
"10","High pond_Eucyclops agilis","Eucyclops agilis","Adirondack lakes","High pond","Eucyclops agilis","species","copepod",NA,"invertebrate","swimming",1e-05,"USA",-74.66,44.09,"lakes",573,1,"","High pond","Eucyclops agilis",1,0,3,0,0,NA,3e-06,"zooplankton",-5.52287874528034,-5,NA,NA,-5.52287874528034,3e-06,3e-11,"g.ml"
