"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Indian Lake_Asterionella formosa","Asterionella formosa","Adirondack lakes","Indian Lake","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Asterionella formosa",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-9.29073003902417,NA,NA,0.146128035678238,1.4,7.168e-10,"g.ml"
"2","Indian Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Indian Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Bosmina longirostris",1,0,10871,0,0,NA,0.010871,"zooplankton",-1.96373050425718,-5.80966830182971,NA,NA,-1.96373050425718,0.010871,1.685005e-08,"g.ml"
"3","Indian Lake_Chlamydomonas sp.","Chlamydomonas sp.","Adirondack lakes","Indian Lake","Chlamydomonas sp.","species","green algae",NA,"primary producer","swimming",1.74e-08,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Chlamydomonas sp.",1,2.8,0,0,0,NA,2.8,"phytoplankton",0.447158031342219,-7.7594507517174,NA,NA,0.447158031342219,2.8,4.872e-08,"g.ml"
"4","Indian Lake_Chroococcus limneticus","Chroococcus limneticus","Adirondack lakes","Indian Lake","Chroococcus limneticus","species","cyanobacteria",NA,"primary producer","floating",1.53e-11,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Chroococcus limneticus",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-10.8153085691824,NA,NA,0.146128035678238,1.4,2.142e-11,"g.ml"
"5","Indian Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Indian Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Colletheca mutabilis",1,0,195,0,0,NA,0.000195,"zooplankton",-3.70996538863748,-4.49349496759513,NA,NA,-3.70996538863748,0.000195,6.2595e-09,"g.ml"
"6","Indian Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Indian Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Conochiloides dossuarius",1,0,5127,0,0,NA,0.005127,"zooplankton",-2.2901366825596,-5.73754891026957,NA,NA,-2.2901366825596,0.005127,9.38241e-09,"g.ml"
"7","Indian Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Indian Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.76,43.62,"lakes",654,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"8","Indian Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Indian Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Cryptomonas erosa",1,12.6,0,0,0,NA,12.6,"phytoplankton",1.10037054511756,-10.3233063903751,NA,NA,1.10037054511756,12.6,5.985e-10,"g.ml"
"9","Indian Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Indian Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Cryptomonas ovata",1,61.6,0,0,0,NA,61.6,"phytoplankton",1.78958071216443,-10.3233063903751,NA,NA,1.78958071216443,61.6,2.926e-09,"g.ml"
"10","Indian Lake_Diaptomus leptopus","Diaptomus leptopus","Adirondack lakes","Indian Lake","Diaptomus leptopus","species","copepod",NA,"invertebrate","swimming",1.01e-05,"USA",-74.76,43.62,"lakes",654,1,"","Indian Lake","Diaptomus leptopus",1,0,781,0,0,NA,0.000781,"zooplankton",-3.1073489661227,-4.99567862621736,NA,NA,-3.1073489661227,0.000781,7.8881e-09,"g.ml"
