"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Long Lake_Alona costata","Alona costata","Adirondack lakes","Long Lake","Alona costata","species","water flea",NA,"invertebrate","swimming",4.42e-06,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Alona costata",1,0,38,0,0,NA,3.8e-05,"zooplankton",-4.42021640338319,-5.35457773065091,NA,NA,-4.42021640338319,3.8e-05,1.6796e-10,"g.ml"
"2","Long Lake_Anabaena sp.","Anabaena sp.","Adirondack lakes","Long Lake","Anabaena sp.","genus","cyanobacteria",NA,"primary producer","floating",5.51e-11,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Anabaena sp.",1,17.5,0,0,0,NA,17.5,"phytoplankton",1.24303804868629,-10.2588484011482,NA,NA,1.24303804868629,17.5,9.6425e-10,"g.ml"
"3","Long Lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Long Lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Ankistrodesmus falcatus",1,28,0,0,0,NA,28,"phytoplankton",1.44715803134222,-10.5900668766687,NA,NA,1.44715803134222,28,7.196e-10,"g.ml"
"4","Long Lake_Arthrodesmus incus","Arthrodesmus incus","Adirondack lakes","Long Lake","Arthrodesmus incus","species","phytoplankton",NA,"primary producer","floating",2.39e-10,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Arthrodesmus incus",1,21,0,0,0,NA,21,"phytoplankton",1.32221929473392,-9.62160209905186,NA,NA,1.32221929473392,21,5.019e-09,"g.ml"
"5","Long Lake_benthic detritus","benthic detritus","Adirondack lakes","Long Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-73.93,44.32,"lakes",518,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"6","Long Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Long Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Bosmina longirostris",1,0,8657,0,0,NA,0.008657,"zooplankton",-2.06263258248271,-5.80966830182971,NA,NA,-2.06263258248271,0.008657,1.341835e-08,"g.ml"
"7","Long Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Long Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",12,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Catostomus commersoni",3,0,0,18,99.13793103,0.181565217399514,NA,"fish",NA,1.07918124604762,-0.740967346003749,-8.55727216717862,-8.55727216717862,2.7715826424575e-09,3.325899170949e-08,"g.ml"
"8","Long Lake_Chrosomus eos","Chrosomus eos","Adirondack lakes","Long Lake","Chrosomus eos","species","northern redbelly dace",NA,"ectotherm vertebrate","swimming",2.4,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Chrosomus eos",1,0,0,39,24.07407407,1.62000000027415,NA,"fish",NA,0.380211241711606,0.209515014616127,-7.60678980655875,-7.60678980655875,2.47292072008556e-08,5.93500972820534e-08,"g.ml"
"9","Long Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Long Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Colletheca mutabilis",1,0,17031,0,0,NA,0.017031,"zooplankton",-1.76875985105492,-4.49349496759513,NA,NA,-1.76875985105492,0.017031,5.466951e-07,"g.ml"
"10","Long Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Long Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Conochiloides dossuarius",1,0,7344,0,0,NA,0.007344,"zooplankton",-2.13406733180681,-5.73754891026957,NA,NA,-2.13406733180681,0.007344,1.343952e-08,"g.ml"
"11","Long Lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Long Lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Conochiloides unicornis",1,0,127344,0,0,NA,0.127344,"zooplankton",-0.895021512642084,-6.49757288001557,NA,NA,-0.895021512642084,0.127344,4.0495392e-08,"g.ml"
"12","Long Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Long Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","copepod nauplii",2,0,32344,0,0,NA,0.032344,"zooplankton",-1.49020627167438,-5.55284196865778,NA,NA,-1.49020627167438,0.032344,9.05632e-08,"g.ml"
"13","Long Lake_Cosmarium sp.","Cosmarium sp.","Adirondack lakes","Long Lake","Cosmarium sp.","genus","phytoplankton",NA,"primary producer","floating",3.49e-10,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Cosmarium sp.",1,35,0,0,0,NA,35,"phytoplankton",1.54406804435028,-9.45717457304082,NA,NA,1.54406804435028,35,1.2215e-08,"g.ml"
"14","Long Lake_Crucigenia tetrapaedia","Crucigenia tetrapaedia","Adirondack lakes","Long Lake","Crucigenia tetrapaedia","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Crucigenia tetrapaedia",1,7,0,0,0,NA,7,"phytoplankton",0.845098040014257,-10.0846001647877,NA,NA,0.845098040014257,7,5.761e-10,"g.ml"
"15","Long Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Long Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Cryptomonas ovata",1,14,0,0,0,NA,14,"phytoplankton",1.14612803567824,-10.3233063903751,NA,NA,1.14612803567824,14,6.65e-10,"g.ml"
"16","Long Lake_Cyclops scutifer","Cyclops scutifer","Adirondack lakes","Long Lake","Cyclops scutifer","species","copepod",NA,"invertebrate","swimming",2.24e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Cyclops scutifer",1,0,937,0,0,NA,0.000937,"zooplankton",-3.02826040911222,-4.64975198166584,NA,NA,-3.02826040911222,0.000937,2.09888e-08,"g.ml"
"17","Long Lake_Cyclops vernalis","Cyclops vernalis","Adirondack lakes","Long Lake","Cyclops vernalis","species","copepod",NA,"invertebrate","swimming",2.24e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Cyclops vernalis",1,0,141,0,0,NA,0.000141,"zooplankton",-3.85078088734462,-4.64975198166584,NA,NA,-3.85078088734462,0.000141,3.1584e-09,"g.ml"
"18","Long Lake_Cyclotella glomerata","Cyclotella glomerata","Adirondack lakes","Long Lake","Cyclotella glomerata","species","phytoplankton",NA,"primary producer","floating",1.05e-10,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Cyclotella glomerata",1,14,0,0,0,NA,14,"phytoplankton",1.14612803567824,-9.97881070093006,NA,NA,1.14612803567824,14,1.47e-09,"g.ml"
"19","Long Lake_Daphnia catawba","Daphnia catawba","Adirondack lakes","Long Lake","Daphnia catawba","species","daphnia",NA,"invertebrate","swimming",1e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Daphnia catawba",1,0,160,0,0,NA,0.00016,"zooplankton",-3.79588001734407,-5,NA,NA,-3.79588001734407,0.00016,1.6e-09,"g.ml"
"20","Long Lake_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","Long Lake","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Diaphanosoma birgei",1,0,676,0,0,NA,0.000676,"zooplankton",-3.17005330405836,-4.39685562737982,NA,NA,-3.17005330405836,0.000676,2.71076e-08,"g.ml"
"21","Long Lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Long Lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Diaptomus minutus",1,0,9,0,0,NA,9e-06,"zooplankton",-5.04575749056067,-4.84163750790475,NA,NA,-5.04575749056067,9.00000000000001e-06,1.296e-10,"g.ml"
"22","Long Lake_Diatoma sp.","Diatoma sp.","Adirondack lakes","Long Lake","Diatoma sp.","genus","phytoplankton",NA,"primary producer","floating",3.43e-14,"USA",-73.93,44.32,"lakes",518,1,"","Long Lake","Diatoma sp.",1,10.5,0,0,0,NA,10.5,"phytoplankton",1.02118929906994,-13.4647058799572,NA,NA,1.02118929906994,10.5,3.6015e-13,"g.ml"
