fw_name,taxonomy,Count.of.Lake_species,metabolic.type,mass.mean.g.,density.comb,biomass
Maggiore,Alosa agone,1,ectotherm vertebrate,760,0.024148914,18.353175
Maggiore,Ascomorfa ovalis,1,invertebrate,0.000000024,37,6.00E-13
Maggiore,Asplanchna priodonta,1,invertebrate,0.00000879,1688,1.20E-08
Maggiore,Bythotrephes  longimanus,1,invertebrate,0.000015,42,6.56E-10
Maggiore,chlorophyta,1,primary producer,,,0.018578369
Maggiore,Collotheca,1,invertebrate,3.45E-08,179,6.20E-12
Maggiore,Conochilus unicornis,1,invertebrate,0.0000188,8861,2.34E-10
Maggiore,Coregonus lavaretus,1,ectotherm vertebrate,283.8,0.312401195,88.659459
Maggiore,Coregonus macrophthalmus,1,ectotherm vertebrate,196.9,2.551567313,502.403604
Maggiore,Cyclops abyssorum,1,invertebrate,0.0000193,48,9.32E-10
Maggiore,Daphnia longispina galeata,1,invertebrate,0.0000097,649,6.09E-09
Maggiore,Diaphanosoma brachyurum,1,invertebrate,0.0000023,939,2.77E-09
Maggiore,Eubosmina  longispina,1,invertebrate,0.0000057,1510,9.12E-09
Maggiore,Euchlanis dilatata,1,invertebrate,0.000000134,1142,1.62E-10
Maggiore,Eudiaptomus  gracilis,1,invertebrate,0.000017,24,4.08E-16
Maggiore,Eudiaptomus padanus,1,invertebrate,0.00000796,698,5.55E-09
Maggiore,Filinia longiseta,1,invertebrate,5.93E-08,94,5.40E-12
Maggiore,Gastropus  iptopus,1,invertebrate,0.000000096,52,1.20E-12
Maggiore,Kellicottia longispina,1,invertebrate,9.80E-09,2055,2.19E-11
Maggiore,Keratella cochlearis,1,invertebrate,2.70E-09,8067,1.79E-11
Maggiore,Keratella quadrata,1,invertebrate,5.99E-08,3432,2.37E-10
Maggiore,Lecane luna,1,invertebrate,1.68E-08,8,1.00E-13
Maggiore,Leptodora kindtii,1,invertebrate,0.0000323,45,1.37E-09
Maggiore,Mesocyclops leuckarti,1,invertebrate,0.0000063,307,1.93E-09
Maggiore,Mixodiaptomus laciniatus,1,invertebrate,0.0000169,1,1.42E-11
Maggiore,Notholca  acuminata-labis,1,invertebrate,5.41E-08,1146,6.41E-11
Maggiore,Ploesoma hudsoni,1,invertebrate,0.000000283,11,2.60E-12
Maggiore,Ploesoma truncatum,1,invertebrate,3.55E-08,35,6.00E-13
Maggiore,Polyarthra major,1,invertebrate,0.000000156,236,3.37E-11
Maggiore,Polyarthra vulgaris-dolichoptera,1,invertebrate,5.84E-08,2112,1.35E-10
Maggiore,Pompholix sulcata,1,invertebrate,2.26E-08,412,2.80E-12
Maggiore,Salmo trutta,1,ectotherm vertebrate,1400,0.000566894,0.793651
Maggiore,Sander lucioperca,1,ectotherm vertebrate,1100,0.000871814,0.958995
Maggiore,Synchaeta oblonga,1,invertebrate,0.000000106,334,4.66E-11
Maggiore,Synchaeta tremula,1,invertebrate,3.04E-08,1844,6.01E-11
Maggiore,Trichocerca,1,invertebrate,2.12E-08,692,1.65E-11
Maggiore,cyanobacteria,1,primary producer,,,
Maggiore,diatoms,1,primary producer,,,
