"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Rock Lake_Alona costata","Alona costata","Adirondack lakes","Rock Lake","Alona costata","species","water flea",NA,"invertebrate","swimming",4.42e-06,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Alona costata",1,0,19,0,0,NA,1.9e-05,"zooplankton",-4.72124639904717,-5.35457773065091,NA,NA,-4.72124639904717,1.9e-05,8.398e-11,"g.ml"
"2","Rock Lake_benthic detritus","benthic detritus","Adirondack lakes","Rock Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-75.02,44.01,"lakes",549,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Rock Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Rock Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Bosmina longirostris",1,0,5,0,0,NA,5e-06,"zooplankton",-5.30102999566398,-5.80966830182971,NA,NA,-5.30102999566398,5e-06,7.75e-12,"g.ml"
"4","Rock Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Rock Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Colletheca mutabilis",1,0,208,0,0,NA,0.000208,"zooplankton",-3.68193666503724,-4.49349496759513,NA,NA,-3.68193666503724,0.000208,6.6768e-09,"g.ml"
"5","Rock Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Rock Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-75.02,44.01,"lakes",549,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"6","Rock Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Rock Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Cryptomonas erosa",1,19.3,0,0,0,NA,19.3,"phytoplankton",1.28555730900777,-10.3233063903751,NA,NA,1.28555730900777,19.3,9.1675e-10,"g.ml"
"7","Rock Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Rock Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Cryptomonas ovata",1,54.3,0,0,0,NA,54.3,"phytoplankton",1.73479982958885,-10.3233063903751,NA,NA,1.73479982958885,54.3,2.57925e-09,"g.ml"
"8","Rock Lake_Daphnia pulex","Daphnia pulex","Adirondack lakes","Rock Lake","Daphnia pulex","species","daphnia",NA,"invertebrate","swimming",5.8e-05,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Daphnia pulex",1,0,5,0,0,NA,5e-06,"zooplankton",-5.30102999566398,-4.23657200643706,NA,NA,-5.30102999566398,5e-06,2.9e-10,"g.ml"
"9","Rock Lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Rock Lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Diaptomus minutus",1,0,284,0,0,NA,0.000284,"zooplankton",-3.54668165995296,-4.84163750790475,NA,NA,-3.54668165995296,0.000284,4.0896e-09,"g.ml"
"10","Rock Lake_Dinobryon bavaricum","Dinobryon bavaricum","Adirondack lakes","Rock Lake","Dinobryon bavaricum","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-75.02,44.01,"lakes",549,1,"","Rock Lake","Dinobryon bavaricum",1,1359.5,0,0,0,NA,1359.5,"phytoplankton",3.13337921192352,-8.86646109162978,NA,NA,3.13337921192352,1359.5,1.84892e-06,"g.ml"
