"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Safford Lake_Asterionella formosa","Asterionella formosa","Adirondack lakes","Safford Lake","Asterionella formosa","species","phytoplankton",NA,"primary producer","floating",5.12e-10,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Asterionella formosa",1,1.4,0,0,0,NA,1.4,"phytoplankton",0.146128035678238,-9.29073003902417,NA,NA,0.146128035678238,1.4,7.168e-10,"g.ml"
"2","Safford Lake_benthic detritus","benthic detritus","Adirondack lakes","Safford Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.92,43.78,"lakes",537,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Safford Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Safford Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Bosmina longirostris",1,0,27729,0,0,NA,0.027729,"zooplankton",-1.55706579224373,-5.80966830182971,NA,NA,-1.55706579224373,0.027729,4.297995e-08,"g.ml"
"4","Safford Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Safford Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",215,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Catostomus commersoni",2,0,0,58,94.3977591,0.614421365008865,NA,"fish",NA,2.33243845991561,-0.211533691179455,-8.02783851235433,-8.02783851235433,9.37910693911447e-09,2.01650799190961e-06,"g.ml"
"5","Safford Lake_Chrysosphaerella longispina","Chrysosphaerella longispina","Adirondack lakes","Safford Lake","Chrysosphaerella longispina","species","phytoplankton",NA,"primary producer","floating",7.65e-10,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Chrysosphaerella longispina",1,7.7,0,0,0,NA,7.7,"phytoplankton",0.886490725172482,-9.11633856484638,NA,NA,0.886490725172482,7.7,5.8905e-09,"g.ml"
"6","Safford Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Safford Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Colletheca mutabilis",1,0,313,0,0,NA,0.000313,"zooplankton",-3.50445566245355,-4.49349496759513,NA,NA,-3.50445566245355,0.000313,1.00473e-08,"g.ml"
"7","Safford Lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Safford Lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Conochiloides unicornis",1,0,1875,0,0,NA,0.001875,"zooplankton",-2.72699872793626,-6.49757288001557,NA,NA,-2.72699872793626,0.001875,5.9625e-10,"g.ml"
"8","Safford Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Safford Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","copepod nauplii",1,0,79583,0,0,NA,0.079583,"zooplankton",-1.09917969350217,-5.55284196865778,NA,NA,-1.09917969350217,0.079583,2.228324e-07,"g.ml"
"9","Safford Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Safford Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Cryptomonas erosa",1,20.6,0,0,0,NA,20.6,"phytoplankton",1.31386722036915,-10.3233063903751,NA,NA,1.31386722036915,20.6,9.785e-10,"g.ml"
"10","Safford Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Safford Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.92,43.78,"lakes",537,1,"","Safford Lake","Cryptomonas ovata",1,3.1,0,0,0,NA,3.1,"phytoplankton",0.491361693834273,-10.3233063903751,NA,NA,0.491361693834273,3.1,1.4725e-10,"g.ml"
