"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Sand Lake_Anabaena sp.","Anabaena sp.","Adirondack lakes","Sand Lake","Anabaena sp.","genus","cyanobacteria",NA,"primary producer","floating",5.51e-11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Anabaena sp.",1,0.9,0,0,0,NA,0.9,"phytoplankton",-0.0457574905606751,-10.2588484011482,NA,NA,-0.0457574905606751,0.9,4.959e-11,"g.ml"
"2","Sand Lake_benthic detritus","benthic detritus","Adirondack lakes","Sand Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-75.01,44.01,"lakes",547,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Sand Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Sand Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Bosmina longirostris",1,0,3370,0,0,NA,0.00337,"zooplankton",-2.47237009912866,-5.80966830182971,NA,NA,-2.47237009912866,0.00337,5.2235e-09,"g.ml"
"4","Sand Lake_Botryococcus braunii","Botryococcus braunii","Adirondack lakes","Sand Lake","Botryococcus braunii","species","phytoplankton",NA,"primary producer","floating",3.64e-11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Botryococcus braunii",1,0.1,0,0,0,NA,0.1,"phytoplankton",-1,-10.4388986163509,NA,NA,-1,0.1,3.64e-12,"g.ml"
"5","Sand Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Sand Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",692,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Catostomus commersoni",1,0,0,5,71.42857143,0.0699999999986,NA,"fish",NA,2.84010609445676,-1.15490195999443,-8.9712067811693,-8.9712067811693,1.06854598995823e-09,7.39433825051093e-07,"g.ml"
"6","Sand Lake_Chrosomus eos","Chrosomus eos","Adirondack lakes","Sand Lake","Chrosomus eos","species","northern redbelly dace",NA,"ectotherm vertebrate","swimming",11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Chrosomus eos",1,0,0,1,16.66666667,0.059999999988,NA,"fish",NA,1.04139268515823,-1.22184874970322,-9.03815357087809,-9.03815357087809,9.15896562656475e-10,1.00748621892212e-08,"g.ml"
"7","Sand Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Sand Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","copepod nauplii",1,0,703,0,0,NA,0.000703,"zooplankton",-3.15304467498018,-5.55284196865778,NA,NA,-3.15304467498018,0.000703,1.9684e-09,"g.ml"
"8","Sand Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","Sand Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Cryptomonas erosa",1,23.4,0,0,0,NA,23.4,"phytoplankton",1.36921585741014,-10.3233063903751,NA,NA,1.36921585741014,23.4,1.1115e-09,"g.ml"
"9","Sand Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","Sand Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Cryptomonas ovata",1,3.5,0,0,0,NA,3.5,"phytoplankton",0.544068044350276,-10.3233063903751,NA,NA,0.544068044350276,3.5,1.6625e-10,"g.ml"
"10","Sand Lake_Cyclops bicuspidatus","Cyclops bicuspidatus","Adirondack lakes","Sand Lake","Cyclops bicuspidatus","species","copepod",NA,"invertebrate","swimming",2.24e-05,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Cyclops bicuspidatus",1,0,1861,0,0,NA,0.001861,"zooplankton",-2.73025362686923,-4.64975198166584,NA,NA,-2.73025362686923,0.001861,4.16864e-08,"g.ml"
"11","Sand Lake_Daphnia pulex","Daphnia pulex","Adirondack lakes","Sand Lake","Daphnia pulex","species","daphnia",NA,"invertebrate","swimming",5.8e-05,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Daphnia pulex",1,0,9406,0,0,NA,0.009406,"zooplankton",-2.02659502558994,-4.23657200643706,NA,NA,-2.02659502558994,0.009406,5.45548e-07,"g.ml"
"12","Sand Lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","Sand Lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Diaptomus minutus",1,0,8380,0,0,NA,0.00838,"zooplankton",-2.07675598136972,-4.84163750790475,NA,NA,-2.07675598136972,0.00838,1.20672e-07,"g.ml"
"13","Sand Lake_Dinobryon bavaricum","Dinobryon bavaricum","Adirondack lakes","Sand Lake","Dinobryon bavaricum","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Dinobryon bavaricum",1,3.5,0,0,0,NA,3.5,"phytoplankton",0.544068044350276,-8.86646109162978,NA,NA,0.544068044350276,3.5,4.76e-09,"g.ml"
"14","Sand Lake_fish eggs","fish eggs","Adirondack lakes","Sand Lake","fish eggs",NA,NA,"larvae","ectotherm vertebrate","floating",0.0201,"USA",-75.01,44.01,"lakes",547,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.69680394257951,NA,NA,NA,NA,NA,"g.ml"
"15","Sand Lake_fish fry","fish fry","Adirondack lakes","Sand Lake","fish fry",NA,NA,"larvae","ectotherm vertebrate","swimming",0.016,"USA",-75.01,44.01,"lakes",547,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fish",NA,-1.79588001734408,NA,NA,-5.55966031693396,2.75638376369601e-06,4.41021402191361e-08,"g.ml"
"16","Sand Lake_Gymnodinium palustre","Gymnodinium palustre","Adirondack lakes","Sand Lake","Gymnodinium palustre","species","phytoplankton",NA,"primary producer","floating",9.39e-09,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Gymnodinium palustre",1,0.2,0,0,0,NA,0.2,"phytoplankton",-0.698970004336019,-8.02733440773389,NA,NA,-0.698970004336019,0.2,1.878e-09,"g.ml"
"17","Sand Lake_Ictalurus nebulosus","Ictalurus nebulosus","Adirondack lakes","Sand Lake","Ictalurus nebulosus","species","brown bullhead",NA,"ectotherm vertebrate","swimming",36,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Ictalurus nebulosus",1,0,0,26,70.27027027,0.370000000001423,NA,"fish",NA,1.55630250076729,-0.431798275931335,-8.24810309710621,-8.24810309710621,5.6480288041996e-09,2.03329036951186e-07,"g.ml"
"18","Sand Lake_Kelicottia longispina","Kelicottia longispina","Adirondack lakes","Sand Lake","Kelicottia longispina","species","rotifer",NA,"invertebrate","swimming",2e-08,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Kelicottia longispina",1,0,100,0,0,NA,1e-04,"zooplankton",-4,-7.69897000433602,NA,NA,-4,1e-04,2e-12,"g.ml"
"19","Sand Lake_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","Sand Lake","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Keratella taurocephala",1,0,205714,0,0,NA,0.205714,"zooplankton",-0.686736151106206,-8,NA,NA,-0.686736151106206,0.205714,2.05714e-09,"g.ml"
"20","Sand Lake_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","Sand Lake","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Mallomonas sp.",3,17.6,0,0,0,NA,17.6,"phytoplankton",1.24551266781415,-8.24795155218056,NA,NA,1.24551266781415,17.6,9.944e-08,"g.ml"
"21","Sand Lake_Merismopedia punctata","Merismopedia punctata","Adirondack lakes","Sand Lake","Merismopedia punctata","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Merismopedia punctata",1,4.2,0,0,0,NA,4.2,"phytoplankton",0.6232492903979,-10.6179829574251,NA,NA,0.6232492903979,4.2,1.0122e-10,"g.ml"
"22","Sand Lake_Mesocyclops edax","Mesocyclops edax","Adirondack lakes","Sand Lake","Mesocyclops edax","species","copepod",NA,"invertebrate","swimming",1e-05,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Mesocyclops edax",1,0,1358,0,0,NA,0.001358,"zooplankton",-2.86710023005552,-5,NA,NA,-2.86710023005552,0.001358,1.358e-08,"g.ml"
"23","Sand Lake_Navicula sp.","Navicula sp.","Adirondack lakes","Sand Lake","Navicula sp.","genus","diatom",NA,"primary producer","floating",9.01e-10,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Navicula sp.",1,1.1,0,0,0,NA,1.1,"phytoplankton",0.0413926851582251,-9.04527520902094,NA,NA,0.0413926851582251,1.1,9.911e-10,"g.ml"
"24","Sand Lake_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","Sand Lake","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Oocyctis sp.",2,3.8,0,0,0,NA,3.8,"phytoplankton",0.57978359661681,-7.06499684854635,NA,NA,0.57978359661681,3.8,3.2718e-07,"g.ml"
"25","Sand Lake_Polyarthra major","Polyarthra major","Adirondack lakes","Sand Lake","Polyarthra major","species","rotifer",NA,"invertebrate","swimming",8.55e-07,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Polyarthra major",1,0,201,0,0,NA,0.000201,"zooplankton",-3.69680394257951,-6.06803388527183,NA,NA,-3.69680394257951,0.000201,1.71855e-10,"g.ml"
"26","Sand Lake_Salvelinus fontinalis","Salvelinus fontinalis","Adirondack lakes","Sand Lake","Salvelinus fontinalis","species","brook trout",NA,"ectotherm vertebrate","swimming",360,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Salvelinus fontinalis",1,0,0,28,70,0.4,NA,"fish",NA,2.55630250076729,-0.397940008672038,-8.21424482984691,-8.21424482984691,6.10597708559769e-09,2.19815175081517e-06,"g.ml"
"27","Sand Lake_Schroederia setigera","Schroederia setigera","Adirondack lakes","Sand Lake","Schroederia setigera","species","green algae",NA,"primary producer","floating",6.37e-10,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Schroederia setigera",1,8.4,0,0,0,NA,8.4,"phytoplankton",0.924279286061882,-9.19586056766465,NA,NA,0.924279286061882,8.4,5.3508e-09,"g.ml"
"28","Sand Lake_Sphaerocystis schroeteri","Sphaerocystis schroeteri","Adirondack lakes","Sand Lake","Sphaerocystis schroeteri","species","green algae",NA,"primary producer","floating",1.11e-09,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Sphaerocystis schroeteri",1,50.8,0,0,0,NA,50.8,"phytoplankton",1.70586371228392,-8.95467702121334,NA,NA,1.70586371228392,50.8,5.6388e-08,"g.ml"
"29","Sand Lake_Zygnema sp.","Zygnema sp.","Adirondack lakes","Sand Lake","Zygnema sp.","genus","filamentous algae",NA,"primary producer","floating",2.57e-08,"USA",-75.01,44.01,"lakes",547,1,"","Sand Lake","Zygnema sp.",1,0.2,0,0,0,NA,0.2,"phytoplankton",-0.698970004336019,-7.59006687666871,NA,NA,-0.698970004336019,0.2,5.14e-09,"g.ml"
