"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","South Lake_Anabaena sp.","Anabaena sp.","Adirondack lakes","South Lake","Anabaena sp.","genus","cyanobacteria",NA,"primary producer","floating",5.51e-11,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Anabaena sp.",1,1.2,0,0,0,NA,1.2,"phytoplankton",0.0791812460476248,-10.2588484011482,NA,NA,0.0791812460476248,1.2,6.612e-11,"g.ml"
"2","South Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","South Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Bosmina longirostris",1,0,805,0,0,NA,0.000805,"zooplankton",-3.09420411963213,-5.80966830182971,NA,NA,-3.09420411963213,0.000805,1.24775e-09,"g.ml"
"3","South Lake_Closterium sp.","Closterium sp.","Adirondack lakes","South Lake","Closterium sp.","genus","phytoplankton",NA,"primary producer","floating",9.14e-11,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Closterium sp.",1,0,0,0,0,NA,NA,"phytoplankton",NA,-10.0390538042662,NA,NA,NA,NA,NA,"g.ml"
"4","South Lake_copepod nauplii","copepod nauplii","Adirondack lakes","South Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.88,43.84,"lakes",624,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooplankton",NA,-5.55284196865778,NA,NA,NA,NA,NA,"g.ml"
"5","South Lake_Cryptomonas erosa","Cryptomonas erosa","Adirondack lakes","South Lake","Cryptomonas erosa","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Cryptomonas erosa",1,14,0,0,0,NA,14,"phytoplankton",1.14612803567824,-10.3233063903751,NA,NA,1.14612803567824,14,6.65e-10,"g.ml"
"6","South Lake_Cryptomonas ovata","Cryptomonas ovata","Adirondack lakes","South Lake","Cryptomonas ovata","species","phytoplankton",NA,"primary producer","floating",4.75e-11,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Cryptomonas ovata",1,0.7,0,0,0,NA,0.7,"phytoplankton",-0.154901959985743,-10.3233063903751,NA,NA,-0.154901959985743,0.7,3.325e-11,"g.ml"
"7","South Lake_Diaphanosoma birgei","Diaphanosoma birgei","Adirondack lakes","South Lake","Diaphanosoma birgei","species","cladocera",NA,"invertebrate","swimming",4.01e-05,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Diaphanosoma birgei",1,0,50,0,0,NA,5e-05,"zooplankton",-4.30102999566398,-4.39685562737982,NA,NA,-4.30102999566398,5e-05,2.005e-09,"g.ml"
"8","South Lake_Diaptomus minutus","Diaptomus minutus","Adirondack lakes","South Lake","Diaptomus minutus","species","copepod",NA,"invertebrate","swimming",1.44e-05,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Diaptomus minutus",1,0,42560,0,0,NA,0.04256,"zooplankton",-1.37099838071301,-4.84163750790475,NA,NA,-1.37099838071301,0.04256,6.12864e-07,"g.ml"
"9","South Lake_Dinobryon bavaricum","Dinobryon bavaricum","Adirondack lakes","South Lake","Dinobryon bavaricum","species","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Dinobryon bavaricum",1,5.3,0,0,0,NA,5.3,"phytoplankton",0.724275869600789,-8.86646109162978,NA,NA,0.724275869600789,5.3,7.208e-09,"g.ml"
"10","South Lake_Dinobryon sp.","Dinobryon sp.","Adirondack lakes","South Lake","Dinobryon sp.","genus","golden-brown algae",NA,"primary producer","floating",1.36e-09,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Dinobryon sp.",1,0.3,0,0,0,NA,0.3,"phytoplankton",-0.522878745280338,-8.86646109162978,NA,NA,-0.522878745280338,0.3,4.08e-10,"g.ml"
"11","South Lake_Gastropus stylifer","Gastropus stylifer","Adirondack lakes","South Lake","Gastropus stylifer","species","rotifer",NA,"invertebrate","swimming",8.55e-07,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Gastropus stylifer",1,0,670,0,0,NA,0.00067,"zooplankton",-3.17392519729917,-6.06803388527183,NA,NA,-3.17392519729917,0.00067,5.7285e-10,"g.ml"
"12","South Lake_Kelicottia longispina","Kelicottia longispina","Adirondack lakes","South Lake","Kelicottia longispina","species","rotifer",NA,"invertebrate","swimming",2e-08,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Kelicottia longispina",1,0,167,0,0,NA,0.000167,"zooplankton",-3.77728352885242,-7.69897000433602,NA,NA,-3.77728352885242,0.000167,3.34e-12,"g.ml"
"13","South Lake_Keratella taurocephala","Keratella taurocephala","Adirondack lakes","South Lake","Keratella taurocephala","species","rotifer",NA,"invertebrate","swimming",1e-08,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Keratella taurocephala",1,0,27958,0,0,NA,0.027958,"zooplankton",-1.55349389945106,-8,NA,NA,-1.55349389945106,0.027958,2.7958e-10,"g.ml"
"14","South Lake_Mallomonas sp.","Mallomonas sp.","Adirondack lakes","South Lake","Mallomonas sp.","genus","golden-brown algae",NA,"primary producer","floating",5.65e-09,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Mallomonas sp.",3,30.8,0,0,0,NA,30.8,"phytoplankton",1.48855071650044,-8.24795155218056,NA,NA,1.48855071650044,30.8,1.7402e-07,"g.ml"
"15","South Lake_Merismopedia punctata","Merismopedia punctata","Adirondack lakes","South Lake","Merismopedia punctata","species","cyanobacteria",NA,"primary producer","floating",2.41e-11,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Merismopedia punctata",1,52.5,0,0,0,NA,52.5,"phytoplankton",1.72015930340596,-10.6179829574251,NA,NA,1.72015930340596,52.5,1.26525e-09,"g.ml"
"16","South Lake_nanoflagellates ","nanoflagellates ","Adirondack lakes","South Lake","nanoflagellates ",NA,NA,NA,"primary producer","swimming",3.49e-12,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","nanoflagellates ",2,1,0,0,0,NA,1,"phytoplankton",0,-11.4571745730408,NA,NA,0,1,3.49e-12,"g.ml"
"17","South Lake_Oocyctis sp.","Oocyctis sp.","Adirondack lakes","South Lake","Oocyctis sp.","genus","green algae",NA,"primary producer","floating",8.61e-08,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Oocyctis sp.",2,15,0,0,0,NA,15,"phytoplankton",1.17609125905568,-7.06499684854635,NA,NA,1.17609125905568,15,1.2915e-06,"g.ml"
"18","South Lake_Scenedesmus sp.","Scenedesmus sp.","Adirondack lakes","South Lake","Scenedesmus sp.","genus","green algae",NA,"primary producer","floating",1.61e-10,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Scenedesmus sp.",1,2.1,0,0,0,NA,2.1,"phytoplankton",0.322219294733919,-9.79317412396815,NA,NA,0.322219294733919,2.1,3.381e-10,"g.ml"
"19","South Lake_Schroederia setigera","Schroederia setigera","Adirondack lakes","South Lake","Schroederia setigera","species","green algae",NA,"primary producer","floating",6.37e-10,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Schroederia setigera",1,2.1,0,0,0,NA,2.1,"phytoplankton",0.322219294733919,-9.19586056766465,NA,NA,0.322219294733919,2.1,1.3377e-09,"g.ml"
"20","South Lake_Sphaerocystis schroeteri","Sphaerocystis schroeteri","Adirondack lakes","South Lake","Sphaerocystis schroeteri","species","green algae",NA,"primary producer","floating",1.11e-09,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Sphaerocystis schroeteri",1,5.6,0,0,0,NA,5.6,"phytoplankton",0.7481880270062,-8.95467702121334,NA,NA,0.7481880270062,5.6,6.216e-09,"g.ml"
"21","South Lake_Synchaeta sp.","Synchaeta sp.","Adirondack lakes","South Lake","Synchaeta sp.","genus","rotifer",NA,"invertebrate","swimming",1.37e-05,"USA",-74.88,43.84,"lakes",624,1,"","South Lake","Synchaeta sp.",1,0,614,0,0,NA,0.000614,"zooplankton",-3.21183162885883,-4.86327943284359,NA,NA,-3.21183162885883,0.000614,8.4118e-09,"g.ml"
