"","Lake_species","Taxa.x","study.site","foodweb.name","taxonomy","taxonomy.level","common","lifestage","metabolic.type","movement.type","mass.mean.g.","geographic.location","longitude","latitude","ecosystem.type","altitude","include","notes","lake_database","Taxa.y","Count.of.Lake_species","Sum.of.phyto_density_ind_ml","Sum.of.zoop_density_ind_m3","Sum.of.fish_number","Sum.of.effort_h","CPUE","density","species_type","logN","logM","logCPUE","logCPUE.pred","log10.density.comb","density.comb","biomass","biomass_units"
"1","Stink Lake_Ankistrodesmus falcatus","Ankistrodesmus falcatus","Adirondack lakes","Stink Lake","Ankistrodesmus falcatus","species","green algae",NA,"primary producer","floating",2.57e-11,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Ankistrodesmus falcatus",1,395.5,0,0,0,NA,395.5,"phytoplankton",2.5971464878337,-10.5900668766687,NA,NA,2.5971464878337,395.5,1.016435e-08,"g.ml"
"2","Stink Lake_benthic detritus","benthic detritus","Adirondack lakes","Stink Lake","benthic detritus",NA,NA,NA,"detritus","sessile",NA,"USA",-74.81,43.63,"lakes",582,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"detritus",NA,NA,NA,NA,NA,NA,NA,"g.ml"
"3","Stink Lake_Bosmina longirostris","Bosmina longirostris","Adirondack lakes","Stink Lake","Bosmina longirostris","species","water flea",NA,"invertebrate","swimming",1.55e-06,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Bosmina longirostris",1,0,742,0,0,NA,0.000742,"zooplankton",-3.12959609472097,-5.80966830182971,NA,NA,-3.12959609472097,0.000742,1.1501e-09,"g.ml"
"4","Stink Lake_Catostomus commersoni","Catostomus commersoni","Adirondack lakes","Stink Lake","Catostomus commersoni","species","white sucker",NA,"ectotherm vertebrate","swimming",94,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Catostomus commersoni",2,0,0,37,34.48844884,1.07282296665912,NA,"fish",NA,1.9731278535997,0.030528062183735,-7.78577675899114,-7.78577675899114,1.63765811283088e-08,1.53939862606103e-06,"g.ml"
"5","Stink Lake_Coelastrum cambricum","Coelastrum cambricum","Adirondack lakes","Stink Lake","Coelastrum cambricum","species","phytoplankton",NA,"primary producer","floating",1.49e-09,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Coelastrum cambricum",1,1.2,0,0,0,NA,1.2,"phytoplankton",0.0791812460476248,-8.82681373158773,NA,NA,0.0791812460476248,1.2,1.788e-09,"g.ml"
"6","Stink Lake_Colletheca mutabilis","Colletheca mutabilis","Adirondack lakes","Stink Lake","Colletheca mutabilis","species","rotifer",NA,"invertebrate","swimming",3.21e-05,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Colletheca mutabilis",1,0,369,0,0,NA,0.000369,"zooplankton",-3.43297363384094,-4.49349496759513,NA,NA,-3.43297363384094,0.000369,1.18449e-08,"g.ml"
"7","Stink Lake_Conochiloides dossuarius","Conochiloides dossuarius","Adirondack lakes","Stink Lake","Conochiloides dossuarius","species","rotifer",NA,"invertebrate","swimming",1.83e-06,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Conochiloides dossuarius",1,0,3125,0,0,NA,0.003125,"zooplankton",-2.50514997831991,-5.73754891026957,NA,NA,-2.50514997831991,0.003125,5.71875e-09,"g.ml"
"8","Stink Lake_Conochiloides unicornis","Conochiloides unicornis","Adirondack lakes","Stink Lake","Conochiloides unicornis","species","rotifer",NA,"invertebrate","swimming",3.18e-07,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Conochiloides unicornis",1,0,86241,0,0,NA,0.086241,"zooplankton",-1.06428621630432,-6.49757288001557,NA,NA,-1.06428621630432,0.086241,2.7424638e-08,"g.ml"
"9","Stink Lake_copepod nauplii","copepod nauplii","Adirondack lakes","Stink Lake","copepod nauplii",NA,"copepod","nauplii","invertebrate","swimming",2.8e-06,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","copepod nauplii",1,0,47569,0,0,NA,0.047569,"zooplankton",-1.32267597826365,-5.55284196865778,NA,NA,-1.32267597826365,0.047569,1.331932e-07,"g.ml"
"10","Stink Lake_Crucigenia quadrata","Crucigenia quadrata","Adirondack lakes","Stink Lake","Crucigenia quadrata","species","green algae",NA,"primary producer","floating",8.23e-11,"USA",-74.81,43.63,"lakes",582,1,"","Stink Lake","Crucigenia quadrata",1,101.5,0,0,0,NA,101.5,"phytoplankton",2.00646604224923,-10.0846001647877,NA,NA,2.00646604224923,101.5,8.35345e-09,"g.ml"
