,Ancylus fluviatilis,Biofilm,BOM,Chelicorophium curvispinum,Chironominae Gen. sp.,Dikerogammarus villosus,Dreissena polymorpha,Heptagenia sulphurea,Hydropsyche bulgaromanorum,Hydropsyche contubernalis,Jaera istri,Oligochaeta Gen. sp.,Orthocladiinae Gen. sp.,Phytoplankton,t-POM
Ancylus fluviatilis,,,,,,0.0974,,,,,,,,,
Biofilm,0.138166667,,,0.029366667,0.085966667,0.242166667,0.031066667,0.103433333,0.116033333,0.022666667,0.234133333,0.051966667,0.156466667,,
BOM,0.253833333,,,0.0639,0.1038,0.330633333,0.026566667,0.107333333,0.048633333,0.037633333,0.157733333,0.086533333,0.1125,,
Chelicorophium curvispinum,,,,,,0.037633333,,,,,,,,,
Chironominae Gen. sp.,,,,,,0.014066667,,,,,,,,,
Dikerogammarus villosus,,,,,,0.4905,,,,,,,,,
Dreissena polymorpha,,,,,,0.023866667,,,,,,,,,
Heptagenia sulphurea,,,,,,0.013166667,,,,,,,,,
Hydropsyche bulgaromanorum,,,,,,0.017533333,,,,,,,,,
Hydropsyche contubernalis,,,,,,0.000533333,,,,,,,,,
Jaera istri,,,,,,0.097766667,,,,,,,,,
Oligochaeta Gen. sp.,,,,,,0.097,,,,,,,,,
Orthocladiinae Gen. sp.,,,,,,0.011066667,,,,,,,,,
Phytoplankton,0.184666667,,,0.393866667,0.269166667,0.1889,0.0305,0.205633333,0.0767,0.0502,0.0669,0.063566667,0.0718,,
t-POM,0.4062,,,0.170033333,0.196533333,0.221966667,0.240433333,0.239166667,0.086966667,0.217133333,0.197033333,0.125133333,0.315333333,,
