study_ID,FW_name,location,lat,lon,temperature,Comment,remark,ecosystem.type,sampling.start.year,sampling.end.year
2,revetment,Elbe River,51.883449,12.310602,15.21,links are SI derived dietary proportions,Water temp is annual mean from 2011,Streams,2011,2012
2,rip rap,Elbe River,51.884135,12.307092,15.17,links are SI derived dietary proportions,Water temp is annual mean from 2011,Streams,2011,2012
2,wing dike,Elbe River,51.874583,12.277325,14.84,links are SI derived dietary proportions,Water temp is annual mean from 2011,Streams,2011,2012
9,Sum53,"Catchment 53, Summer",35.06136111,-83.45438889,15.71,"links are trophic basis of production, i.e. the fraction of a consumer's diet derived from a particular food type",Water temp still needed - currently a dummy temp,Streams,1994,1994
9,Win53,"Catchment 53, Winter",35.06136111,-83.45438889,10.12,"links are trophic basis of production, i.e. the fraction of a consumer's diet derived from a particular food type",Water temp still needed - currently a dummy temp,Streams,1994,1994
9,Sum55,"Catchment 55, Summer",35.06136111,-83.45438889,15.89,"links are trophic basis of production, i.e. the fraction of a consumer's diet derived from a particular food type",Water temp still needed - currently a dummy temp,Streams,1994,1994
9,Win55,"Catchment 55, Winter",35.06136111,-83.45438889,10.12,"links are trophic basis of production, i.e. the fraction of a consumer's diet derived from a particular food type",Water temp still needed - currently a dummy temp,Streams,1994,1994
Mor,morup,Montsant Up,41.3303954,0.8822466,11.9,,,Streams,2012,2012
Mor,mordown1,Montsant Down 1,41.296295,0.775059,13.7,,,Streams,2012,2012
Mor,mordown2,Montsant Down 2,41.288889,0.759722,13.4,,,Streams,2012,2012
Mor,mordown3,Montsant Down 3,41.249028,0.711483,13.1,,,Streams,2012,2012
