fw_name,species,metabolic_type,abundance,biomass,bodymass
Win53,Amphinemura wui,ectotherm invertebrate,106,11.5,0.108490566
Win53,Bacteria,detritus,,,
Win53,Beloneuria sp.,ectotherm invertebrate,151,176,1.165562914
Win53,Chironomidae,ectotherm invertebrate,19500,59.8,0.003066667
Win53,Cordulegaster sp.,ectotherm invertebrate,9,23.1,2.566666667
Win53,Detritus,detritus,,,
Win53,Diatoms,plant,,,
Win53,Diplectrona modesta,ectotherm invertebrate,47,28.3,0.60212766
Win53,Dixa sp.,ectotherm invertebrate,90,0.3,0.003333333
Win53,Dolophilodes sp.,ectotherm invertebrate,2,3.8,1.9
Win53,Ectopria thoracica,ectotherm invertebrate,3,1.4,0.466666667
Win53,Epeorus spp.,ectotherm invertebrate,10,9.8,0.98
Win53,External,detritus,,,
Win53,Fattigia pele,ectotherm invertebrate,20,14.6,0.73
Win53,Fungi,detritus,,,
Win53,Harpacticoida,ectotherm invertebrate,17400,17.4,0.001
Win53,Hexatoma spp.,ectotherm invertebrate,150,35.6,0.237333333
Win53,Isoperla spp.,ectotherm invertebrate,130,20.4,0.156923077
Win53,Lanthus vernalis,ectotherm invertebrate,59,31.4,0.53220339
Win53,Lepidostoma spp.,ectotherm invertebrate,128,18.5,0.14453125
Win53,Leuctra spp.,ectotherm invertebrate,173,16.3,0.094219653
Win53,Lype diversa,ectotherm invertebrate,122,4.4,0.036065574
Win53,Molophilus spp.,ectotherm invertebrate,111,29.4,0.264864865
Win53,Oligochaeta,ectotherm invertebrate,2790,33.6,0.012043011
Win53,Other detritus,detritus,,,
Win53,Paraleptophlebia spp.,ectotherm invertebrate,134,5.2,0.03880597
Win53,Parapsyche cardis,ectotherm invertebrate,78,42,0.538461538
Win53,Pedicia spp.,ectotherm invertebrate,21,21.4,1.019047619
Win53,Pycnopsyche spp.,ectotherm invertebrate,408,31.4,0.076960784
Win53,Rhyacophila spp.,ectotherm invertebrate,32,16.9,0.528125
Win53,Sciara spp.,ectotherm invertebrate,125,8.4,0.0672
Win53,Serratella spp.,ectotherm invertebrate,119,3.7,0.031092437
Win53,Stenonema spp.,ectotherm invertebrate,33,35.9,1.087878788
Win53,Tallaperla maria,ectotherm invertebrate,435,77.5,0.17816092
Win53,Tanypodinae,ectotherm invertebrate,1910,4.3,0.002251309
Win53,Tipula spp.,ectotherm invertebrate,12,169,14.08333333
Win53,Wormaldia moesta,ectotherm invertebrate,33,2.8,0.084848485
