fw_name,species,metabolic_type,bodymass,abundance ,biomass
wing dike,Ancylus fluviatilis,ectotherm invertebrate,1.510442621,20.23451213,30.56306954
wing dike,Chelicorophium curvispinum,ectotherm invertebrate,0.197163167,1960.460179,386.5305368
wing dike,Chironominae Gen. sp.,ectotherm invertebrate,0.088813223,53502.98471,4751.772527
wing dike,Corbicula fluminea,ectotherm invertebrate,0.901800599,1043.261169,940.8135467
wing dike,Dikerogammarus villosus,ectotherm invertebrate,2.645896513,1346.595317,3562.951854
wing dike,Erpobdella octoculata,ectotherm invertebrate,3.202935751,0.163033233,0.522184971
wing dike,Heptagenia sulphurea,ectotherm invertebrate,0.84434153,3.397408186,2.868572825
wing dike,Hydropsyche contubernalis,ectotherm invertebrate,0.63998988,41.06264256,26.2796757
wing dike,Jaera istri,ectotherm invertebrate,0.032591704,2373.723278,77.36368551
wing dike,Kageronia fuscogrisea,ectotherm invertebrate,0.207328052,2.190129664,0.454075316
wing dike,Limoniidae Gen. sp.,ectotherm invertebrate,2.363919668,0.96,2.269362881
wing dike,Oligochaeta Gen. sp.,ectotherm invertebrate,0.062374068,32125.14653,2003.776071
wing dike,Ophiogomphus cecilia,ectotherm invertebrate,0.226469209,82.97359817,18.79096511
wing dike,Orthocladiinae Gen. sp.,ectotherm invertebrate,0.044815382,2563.593929,114.88844
wing dike,Potamopyrgus antipodarum,ectotherm invertebrate,1.224571688,1127.363247,1380.537115
wing dike,Simuliidae Gen. sp.,ectotherm invertebrate,0.099045766,6.755402693,0.669094037
wing dike,Biofilm,plant,,,150
wing dike,BOM,detritus,,,362
wing dike,Phytoplankton,plant,,,2.30E+08
wing dike,t-POM,detritus,,,1151
