"Curculionidae_sp_I","Cecidomyiidae_sp","Hemiptera_sp_juvenile","Nabidae_sp","Ortheziidae_sp","Noctuidae_sp","Ditylenchus","Helicotylenchus","Neotylenchus","Paratylenchus","Pratylenchus","Rotylenchus","Tylenchus","Thysanoptera_sp","Antistea_elegans","Diplocephalus_picinus","Hahnia_pusilla","Hahnia_sp","Linyphiidae_sp_juvenile","Metellina_mengei","Piratula_sp","Lithobius_crassioes","Lithobius_curtipes","Lithobius_sp","Cantharidae_sp_L","Carabidae_sp_L","Dalopius_marginatus_L","Staphylinidae_sp_I","Staphylinidae_sp_L","Empididae_sp","Diplogaster","Clambidae_sp_I","Lathridiidae_sp_I","Allacma_fusca","Arrhopalites_juvenile","Arrhopalites_principalis","Ceratophysella_denticulata","Ceratophysella_engadinensis","Desoria_olivacea","Entomobrya_nivalis","Entomobryinae_juvenile","Folsomia_bisetosa","Folsomia_juvenile_2","Folsomia_juvenile_3","Folsomia_quadrioculata","Friesea_truncata","Isotoma_viridis","Isotomiella_minor","Isotomurus_fucicola","Lepidocyrus_lanuginosus","Mesaphorura_sylvatica","Micraphorura_absoloni","Neanura_muscorum","Orchesella_flavescens","Parisotoma_notabilis","Protaphorura_sp_2","Pseudachorutes_corticolus","Sminthurides_aquaticus","Sphaeridia_pumilis","Julidae_sp_juvenile","Leptoiulus_proximus","Bibionidae_sp","Chironomidae_sp","Limoniidae_sp","Muscidae_sp","Cognettia","Lygaeidae_sp","Lumbricidae","Aphelenchoides","Aphelenchus","Cephalobus","Dorylaimus","Eudorylaimus","Paraphelenchoides","Paraphelenchus","Rhabditis","Arcella","Assulina_muscorum","C_eurystoma_v_parvula","Centropyxis","Cyclopyxis_eurystoma","Cyclopyxis_kahli","Euglypha","Euglypha_compressa","Heleopera_sylvatica","Nebela_bohemica","Nebela_militaris","T_complanatum_v_elongata","Tracheleuglypha_acolla","Trinema_complanatum","Trinema_lineare","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
