"Curculionidae_sp_L","Cecidomyiidae_sp","Hemiptera_sp_juvenile","Ortheziidae_sp","Ditylenchus","Helicotylenchus","Pratylenchus","Tylenchus","Thripidae_sp","Thysanoptera_sp","Asthenargus_paganus","Hahnia_sp","Linyphiidae_sp_juvenile","Robertus_neglectus","Tapinocyba_pallens","Lithobius_curtipes","Lithobius_sp","Ampedus_balteatus_L","Athous_haemorrhoidalis_L","Cantharidae_sp_L","Carabidae_sp_L","Dalopius_marginatus_L","Elateridae_L","Staphylinidae_sp_I","Staphylinidae_sp_L","Asilidae_sp","Dolichopodidae_sp","Symphoromyia_sp","Opilionida_sp","Blattellidae_sp","Allacma_fusca","Deuterosminthurus_bicinctus","Dicyrtoma_minuta","Entomobryinae_juvenile","Folsomia_juvenile_2","Folsomia_quadrioculata","Friesea_mirabilis","Isotoma_viridis","Isotomiella_minor","Lepidocyrtus_juvenile","Lepidocyrtus_lignorum","Lepidocyrtus_violaceus","Mesaphorura_critica","Mesaphorura_hylophila","Mesaphorura_italica","Mesaphorura_juvenile","Mesaphorura_krausbaueri","Mesaphorura_macrochaeta","Mesaphorura_sylvatica","Mesaphorura_tenuisensillata","Mesaphorura_undefined","Mesaphorura_yossii","Metaphorura_affinis","Micraphorura_absoloni","Orchesella_spectabilis","Parisotoma_notabilis","Proisotoma_ripicola","Protaphorura_subarctica","Pseudachorutes_boerneri","Pseudanurophorus_binoculatus","Sminthurinus_juvenile","Sminthurinus_signatus","Sphaeridia_pumilis","Willemia_anophthalma","Pollyzonium_germanicum","Muscidae_sp","Lygaeidae_sp","Lumbricidae","Aphelenchoides","Dorylaimus","Eucephalobus","Panagrolaimus","Protura_sp","Symphyla_sp","Assulina_muscorum","C_eurystoma_v_parvula","Centropyxis_sylvatica","Cyclopyxis_eurystoma","Euglypha_laevis","Plagiopyxis","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
