"Curculionidae_sp_I","Cecidomyiidae_sp","Hemiptera_sp_juvenile","Noctuidae_sp","Ditylenchus","Filenchus","Tylenchus","Thysanoptera_sp","Centromerus_minor","Clubiona_comta_","Cozyptila_guseinovorum","Cozyptila_sp","Dysdera_dunini","Erigoninae_gen_sp","Hahnia_helveola","Hahnia_sp","Harpactea_sp","Neon_sp","Zora_sp_2","Geophilidae_sp","Lithobius_sp","Agriotes_intuscatus_L","Cantharidae_sp_L","Idolus_adrastoides_L","Melyridae_sp_L","Anisopodidae_sp","Stratiomyidae_sp","Diplogaster","Pseudoscorpionida_sp","Cucujidae_sp_I","Cylindronotus_sp_L","Lampyridae_sp_L","Ceratophysella_caucasica","Ceratophysella_juvenile","Entomobryinae_juvenile","Friesea_sp_1","Isotomiella_minor","Jordanathrix_articulata","Lepidocyrtus_lignorum","Lepidocyrtus_sp_2","Lipothrix_lubbocki","Megalothorax_minimus","Mesaphorura_critica","Mesaphorura_hylophila","Mesaphorura_juvenile","Mesaphorura_undefined","Mesaphorura_yossii","Micranurida_pygmaea","Parisotoma_notabilis","Protaphorura_sp_6","Protaphorura_sp_7","Pseudachorutes_parvulus","Pseudosinella_alba","Pseudosinella_sp_1","Sminthurus_sp_2","Tomocerina_sp_1","Brachydesmus_kalischewskyi","Chaetoleptophyllum_flexum","Chordeumatida_sp","Hirudisoma_roseum","Polydesmus_muralewiczi","Polyxenida_sp","Diplura_sp","Platypezidae_sp","Trichomyia_sp","Embioptera_sp","Enchytraeidae_sp","Fridericia","Armadillidium_vulgare","Ligidium_fragile","Trachelipus_razzautii","Trichoniscus_pygmaeus","Lumbricidae","Acrobeles","Acrobeloides","Aphelenchoides","Mesodorylaimus","Panagrolaimus","Plectus","Protura_sp","Symphyla_sp","C_eurystoma_v_parvula","C_sylvatica_v_orbicularis","Centropyxis_plagiostoma","Centropyxis_sylvatica","Euglypha_compressa","Euglypha_laevis","Plagiopyxis","Branch_mass","Litter_mass","Micelium_bact","Micelium_fung"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
