"fwName","uniqueID","taxon","metabolic_type","bodymass","bodymass_units","abundance","abundance_units","biomass","biomass_units","trophic_1","trophic_2","strata","mobility","group","rank","kingdom","phylum","class","order","family","genus","canonicalName","authorship"
"foodweb14","Y2_PZ_27c","Achaeta","invertebrate","NA",NA,1732.48407643312,"indiv_m2","NA",NA,"sapro",NA,NA,NA,"Enchytraeidae","GENUS","Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Achaeta","Achaeta","Vejdovský, 1878"
"foodweb14","Y2_PZ_27c","Anisopodidae_sp","invertebrate","1.295266666666667E-3","g_dwt",6.36942675159236,"indiv_m2","8.2501061571125193E-3","g_dwt_m2","preda",NA,"below","M","Diptera","FAMILY","Animalia","Arthropoda","Insecta","Diptera","Anisopodidae",NA,"Anisopodidae",NA
"foodweb14","Y2_PZ_27c","Coccinellidae_sp_I","invertebrate","9.4299999999999994E-4","g_dwt",6.36942675159236,"indiv_m2","6.0063694267515899E-3","g_dwt_m2","preda",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,"Coccinellidae",NA
"foodweb14","Y2_PZ_27c","Dolichopodidae_sp","invertebrate","1.2726666666666698E-3","g_dwt",6.36942675159236,"indiv_m2","8.1061571125265602E-3","g_dwt_m2","preda",NA,"below","M","Diptera","FAMILY","Animalia","Arthropoda","Insecta","Diptera","Dolichopodidae",NA,"Dolichopodidae",NA
"foodweb14","Y2_PZ_27c","Elateridae_sp_I","invertebrate","2.1174999999999999E-2","g_dwt",6.36942675159236,"indiv_m2","0.13487261146496801","g_dwt_m2","phyto",NA,"above","M","Coleoptera","FAMILY","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae",NA,"Elateridae",NA
"foodweb14","Y2_PZ_27c","Enoplognatha_ovata","invertebrate","6.5999999999999992E-5","g_dwt",6.36942675159236,"indiv_m2","4.2038216560509497E-4","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Enoplognatha","Enoplognatha ovata","(Clerck, 1757)"
"foodweb14","Y2_PZ_27c","Fanniidae_sp","invertebrate","8.5099999999999998E-4","g_dwt",6.36942675159236,"indiv_m2","5.42038216560509E-3","g_dwt_m2","sapro",NA,"below","M","Diptera","FAMILY","Animalia","Arthropoda","Insecta","Diptera","Fanniidae",NA,"Fanniidae",NA
"foodweb14","Y2_PZ_27c","Hahnia_pusilla","invertebrate","1.24666666666667E-4","g_dwt",6.36942675159236,"indiv_m2","7.9405520169851596E-4","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae","Hahnia","Hahnia pusilla","C.L.Koch, 1841"
"foodweb14","Y2_PZ_27c","Minyriolus_pusillus","invertebrate","6.2055555555555554E-5","g_dwt",6.36942675159236,"indiv_m2","3.9525831564048099E-4","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Minyriolus","Minyriolus pusillus","(Wider, 1834)"
"foodweb14","Y2_PZ_27c","Porrhomma_pallidum","invertebrate","2.7766666666666668E-4","g_dwt",6.36942675159236,"indiv_m2","1.7685774946921398E-3","g_dwt_m2","preda",NA,"above","M","Araneae","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae","Porrhomma","Porrhomma pallidum","Jackson, 1913"
