"Achnanthes minutissima","Achnanthes oblongella","Achnanthes scotica","Baetis rhodani","Brachysira brebissonii","Brachysira vitrea","Ceratopogonidae","Chironomidae","Chloroperla tripunctata","Cottus gobio","CPOM","Diatoma hyemalis","Drusus annulatus","Ecdyonurus","Electrogena lateralis","Elmis aenea","Encyonema perpusillum","Esolus parallelepipedus","Eunotia curvata","Eunotia exigua","Eunotia incisa","Eunotia minutissima","Eunotia naegelii","Eunotia paludosa","Eunotia pectinalis undulata","Eunotia rhomboidea","Eunotia tenella","FPOM","Fragilaria construens","Fragilaria ulna","Fragilaria vaucheriae","Fragilariforma virescens","Frustulia rhomboides saxonica","Frustulia rhomboides viridula","Gomphonema clavatum","Gomphonema parvulum","Hydracarina","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Meridion circulare constrictum","Navicula seminulum","Navicula soehrensis hassiaca","Nitzschia recta","Nitzschia sociabilis","Oligochaeta","Orectochilus","Pinnularia abaujensis","Pinnularia appendiculata","Pinnularia biceps","Pinnularia divergens","Pinnularia subcapitata hilseana","Pinnularia viridis","Rhithrogena semicolorata","Salmo salar","Salmo trutta","Sericostoma personatum","Serratella ignita","Silo pallipes","Simuliidae","Siphonoperla torrentium","Surirella linearis","Synedra acus","Tabellaria flocculosa","Tanypodinae","Theodoxus fluviatilis","Tipulidae"
0,0,0,0,0,0,0.00921768232077,0.00921768232077,0,0,0,0,0.00921768232077,0.00921768232077,0.00921768232077,0.00921768232077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00921768232077,0.00921768232077,0,0,0,0,0,0.00921768232077,0.00921768232077,0,0,0,0,0,0,0.00921768232077,0,0,0.00921768232077,0,0.00921768232077,0.00921768232077,0,0,0,0,0,0.00921768232077,0.00921768232077
0,0,0,0,0,0,0.01646253,0.01646253,0,0,0,0,0.01646253,0.01646253,0.01646253,0.01646253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01646253,0.01646253,0,0,0,0,0,0.01646253,0.01646253,0,0,0,0,0,0,0.01646253,0,0,0.01646253,0,0.01646253,0.01646253,0,0,0,0,0,0.01646253,0.01646253
0,0,0,0,0,0,0.002146079660277,0.002146079660277,0,0,0,0,0.002146079660277,0.002146079660277,0.002146079660277,0.002146079660277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002146079660277,0.002146079660277,0,0,0,0,0,0.002146079660277,0.002146079660277,0,0,0,0,0,0,0.002146079660277,0,0,0.002146079660277,0,0.002146079660277,0.002146079660277,0,0,0,0,0,0.002146079660277,0.002146079660277
0,0,0,0,0,0,0,0,0.000685818728,0.000685818728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000685818728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000685818728,0.000685818728,0,0,0,0,0.000685818728,0,0,0,0.000685818728,0,0
0,0,0,0,0,0,0.00585509436,0,0,0,0,0,0.00585509436,0.00585509436,0.00585509436,0.00585509436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585509436,0.00585509436,0,0,0,0,0,0.00585509436,0,0,0,0,0,0,0,0.00585509436,0,0,0.00585509436,0,0.00585509436,0.00585509436,0,0,0,0,0,0.00585509436,0
0,0,0,0,0,0,0.00217592604,0,0,0,0,0,0.00217592604,0.00217592604,0.00217592604,0.00217592604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217592604,0.00217592604,0,0,0,0,0,0.00217592604,0,0,0,0,0,0,0,0.00217592604,0,0,0.00217592604,0,0.00217592604,0.00217592604,0,0,0,0,0,0.00217592604,0
0,0,0,0,0,0,0,0,0,3.2849299e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2849299e-05,3.2849299e-05,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00183748103699999,0.00183748103699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183748103699999,0.00183748103699999,0,0,0,0,0,0,0,0,0.00183748103699999,0,0,0,0,0,0,0,0.00183748103699999,0.00183748103699999,0.00183748103699999,0.00183748103699999,0,0,0.00183748103699999,0,0,0,0.00183748103699999,0,0
0,0,0,0,0,0,0,0,0.005446122817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005446122817,0.005446122817,0,0,0,0,0.005446122817,0,0,0,0.005446122817,0,0
0,0,0,0,0,0,0,0,0,0.367721698061016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367721698061016,0.367721698061016,0,0,0,0,0,0,0,0,0,0,0
