"Achnanthes lanceolata","Achnanthes levanderi","Achnanthes minutissima","Achnanthes oblongella","Amphinemura sulcicollis","Baetis muticus","Baetis rhodani","Chaetopteryx villosa","Chironomidae","Chloroperla tripunctata","CPOM","Cymbella aspera","Diatoma hyemale quadratum","Electrogena lateralis","Encyonema minutum","Esolus parallelepipedus","Eunotia curvata","Eunotia exigua","Eunotia rhomboidea","FPOM","Fragilaria arcus","Fragilaria capucina","Fragilaria ulna","Frustulia rhomboides","Gomphonema acuminatum","Gomphonema olivaceum","Gomphonema parvulum","Hydraena","Isoperla grammatica","Leuctra inermis","Limnius volckmari","Navicula minima","Nitzschia","Oligochaeta","Oulimnius","Pisidium","Plectrocnemia conspersa","Plectrocnemia geniculata","Rhithrogena semicolorata","Rhyacophila dorsalis","Salmo trutta","Serratella ignita","Simuliidae","Siphonoperla torrentium","Synedra acus","Tabellaria flocculosa","Tipulidae"
0,0,0,0,0.003453944960328,0,0,0.003453944960328,0.003453944960328,0,0,0,0,0.003453944960328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003453944960328,0,0.003453944960328,0.003453944960328,0,0,0.003453944960328,0.003453944960328,0.003453944960328,0,0,0.003453944960328,0,0,0,0.003453944960328,0,0,0,0.003453944960328
0,0,0,0,9.4480496e-05,0,0,9.4480496e-05,9.4480496e-05,0,0,0,0,9.4480496e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4480496e-05,0,9.4480496e-05,9.4480496e-05,0,0,9.4480496e-05,9.4480496e-05,9.4480496e-05,0,0,9.4480496e-05,0,0,0,9.4480496e-05,0,0,0,9.4480496e-05
0,0,0,0,0.00194751,0,0,0.00194751,0.00194751,0,0,0,0,0.00194751,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194751,0,0.00194751,0.00194751,0,0,0.00194751,0.00194751,0.00194751,0,0,0.00194751,0,0,0,0.00194751,0,0,0,0.00194751
0,0,0,0,0.000906912746744,0,0,0.000906912746744,0.000906912746744,0,0,0,0,0.000906912746744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000906912746744,0,0.000906912746744,0.000906912746744,0,0,0.000906912746744,0.000906912746744,0.000906912746744,0,0,0.000906912746744,0,0,0,0.000906912746744,0,0,0,0.000906912746744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107834004,0,0,0,0,0,0,0,0,0,0,0,0.000107834004,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.001020484442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001020484442,0,0,0,0,0,0,0,0.001020484442,0.001020484442,0,0.001020484442,0.001020484442,0,0,0.001020484442,0,0,0
0,0,0,0,0,0,0,0,0,0.00700632053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00700632053,0,0,0,0,0,0,0,0.00700632053,0.00700632053,0,0.00700632053,0.00700632053,0,0,0.00700632053,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000532732859,0,0,0,0,0,0
0,0,0,0,0,0,0,0.001323918728,0,0.001323918728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001323918728,0,0,0,0,0,0,0,0.001323918728,0.001323918728,0,0.001323918728,0.001323918728,0.001323918728,0,0.001323918728,0,0,0
0,0,0,0,0,0,0,0,0,0.00120126051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120126051,0.00120126051,0,0,0.00120126051,0,0,0.00120126051,0,0,0
